triple,beta12,beta13,beta23,k,alpha=2/3+1e-k,K=1-4cos^2(alpha pi/2),T_alpha,T*K^3/27,(T*K^3-27)/K,9*sum(beta)-27,evidence
"mixed_(5,0.2,0.2)",5,0.2,0.2,1,0.7666666666666666666666667,0.486289650954788,260.48234779916932254727370531431276,1.1094292580427876586,6.07578212152815,21.6,HP(55 digits)
"mixed_(5,0.2,0.2)",5,0.2,0.2,2,0.6766666666666666666666667,0.0539115909933551,179045.63188608915494100559171832732,1.0390738414122748441,19.5689590808302,21.6,HP(55 digits)
"mixed_(5,0.2,0.2)",5,0.2,0.2,3,0.6676666666666666666666667,0.00543645434382414,168765146.04222963700830889386627006,1.0043064010863139188,21.3876217800969,21.6,HP(55 digits)
"mixed_(5,0.2,0.2)",5,0.2,0.2,4,0.6667666666666666666666667,0.000544090452297925,167702392257.83875139983757671274237,1.0004348423185834781,21.578659489737,21.6,HP(55 digits)
"mixed_(5,0.2,0.2)",5,0.2,0.2,5,0.6666766666666666666666667,5.44134874378558e-5,167595742936175.44234371607559763524,1.000043526487074507,21.5978649108619,21.6,HP(55 digits)
"mixed_(5,0.2,0.2)",5,0.2,0.2,6,0.6666676666666666666666667,5.4413931578915e-6,167585074234690328.79669629525242942,1.0000043530714951098,21.5997864806937,21.6,HP(55 digits)
"mixed_(5,0.2,0.2)",5,0.2,0.2,7,0.6666667666666666666666667,5.44139759922234e-7,167584007326818404873.01842746491126,1.0000004353113776233,21.5999786479654,21.6,HP(55 digits)
"mixed_(5,0.2,0.2)",5,0.2,0.2,8,0.6666666766666666666666667,5.44139804335463e-8,167583900635653948095956.84430009344,1.0000000435311800437,21.5999978647955,21.6,HP(55 digits)
"mixed_(5,0.2,0.2)",5,0.2,0.2,9,0.6666666676666666666666667,5.44139808776785e-9,167583889966533729744141313.35937177,1.0000000043531184272,21.5999997864795,21.6,HP(55 digits)
"mixed_(5,0.2,0.2)",5,0.2,0.2,10,0.6666666667666666666666667,5.44139809220917e-10,167583888899621670182188403761.28972,1.0000000004353118469,21.599999978648,21.6,HP(55 digits)
"weak_pair_loops_(1.01,0.99,1.005)",1.01,0.99,1.005,1,0.7666666666666666666666667,0.486289650954788,213.70110537097722794880103217648522,0.91018167172479285397,-4.98693496493114,0.044999999999999,HP(55 digits)
"weak_pair_loops_(1.01,0.99,1.005)",1.01,0.99,1.005,2,0.6766666666666666666666667,0.0539115909933551,172158.90989057599356227501568997989,0.99910742277789634043,-0.447020474683621,0.044999999999999,HP(55 digits)
"weak_pair_loops_(1.01,0.99,1.005)",1.01,0.99,1.005,3,0.6676666666666666666666667,0.00543645434382414,168041354.24172964966305183761188569,0.99999918033995179244,-0.00407081893858724,0.044999999999999,HP(55 digits)
"weak_pair_loops_(1.01,0.99,1.005)",1.01,0.99,1.005,4,0.6667666666666666666666667,0.000544090452297925,167629635295.26942496650088568979695,1.0000008079592899488,0.0400942540647149,0.044999999999999,HP(55 digits)
"weak_pair_loops_(1.01,0.99,1.005)",1.01,0.99,1.005,5,0.6666766666666666666666667,5.44134874378558e-5,167588463432511.74048687819869085602,1.000000089700510684,0.0445094387900635,0.044999999999999,HP(55 digits)
"weak_pair_loops_(1.01,0.99,1.005)",1.01,0.99,1.005,6,0.6666676666666666666666667,5.4413931578915e-6,167584346246219971.16704015149030784,1.0000000090591021923,0.0449509440128663,0.044999999999999,HP(55 digits)
"weak_pair_loops_(1.01,0.99,1.005)",1.01,0.99,1.005,7,0.6666667666666666666666667,5.44139759922234e-7,167583934527590299281.60241105509117,1.0000000009068007358,0.0449950944026253,0.044999999999999,HP(55 digits)
"weak_pair_loops_(1.01,0.99,1.005)",1.01,0.99,1.005,8,0.6666666766666666666666667,5.44139804335463e-8,167583893355727326808573.29760098397,1.0000000000906889787,0.0449995094402759,0.044999999999999,HP(55 digits)
"weak_pair_loops_(1.01,0.99,1.005)",1.01,0.99,1.005,9,0.6666666676666666666666667,5.44139808776785e-9,167583889238541029508090581.45476101,1.0000000000090689869,0.0449999509440277,0.044999999999999,HP(55 digits)
"weak_pair_loops_(1.01,0.99,1.005)",1.01,0.99,1.005,10,0.6666666667666666666666667,5.44139809220917e-10,167583888826822399777510176840.66321,1.0000000000009068996,0.0449999950944028,0.044999999999999,HP(55 digits)
"strong_antagonism_(20,20,20)",20,20,20,1,0.7666666666666666666666667,0.486289650954788,2327.4965436061021349726314259740253,9.9131199687317363339,494.878389213615,513.0,HP(55 digits)
"strong_antagonism_(20,20,20)",20,20,20,2,0.6766666666666666666666667,0.0539115909933551,348625.12975203729877378843486703493,2.0232118983766547385,512.444925982148,513.0,HP(55 digits)
"strong_antagonism_(20,20,20)",20,20,20,3,0.6676666666666666666666667,0.00543645434382414,185371955.08534571318147519304177921,1.1031320473453239865,512.202458112618,513.0,HP(55 digits)
"strong_antagonism_(20,20,20)",20,20,20,4,0.6667666666666666666666667,0.000544090452297925,169362082353.76226022216357008614574,1.0103357851558216226,512.904054883832,513.0,HP(55 digits)
"strong_antagonism_(20,20,20)",20,20,20,5,0.6666766666666666666666667,5.44134874378558e-5,167761707465234.35655301013159012976,1.0010338365629995811,512.990225683808,513.0,HP(55 digits)
"strong_antagonism_(20,20,20)",20,20,20,6,0.6666676666666666666666667,5.4413931578915e-6,167601670648811988.52051180797424227,1.0001033862726487807,512.999020750549,513.0,HP(55 digits)
"strong_antagonism_(20,20,20)",20,20,20,7,0.6666667666666666666666667,5.44139759922234e-7,167585666967848815264.43446607711736,1.0000103386534646425,512.999902056857,513.0,HP(55 digits)
"strong_antagonism_(20,20,20)",20,20,20,8,0.6666666766666666666666667,5.44139804335463e-8,167584066599753177672657.77185030064,1.0000010338656084982,512.999990205504,513.0,HP(55 digits)
"strong_antagonism_(20,20,20)",20,20,20,9,0.6666666676666666666666667,5.44139808776785e-9,167583906562943614593281032.33144472,1.0000001033865634702,512.999999020549,513.0,HP(55 digits)
"strong_antagonism_(20,20,20)",20,20,20,10,0.6666666667666666666666667,5.44139809220917e-10,167583890559262658286023166020.05488,1.0000000103386563732,512.999999902055,513.0,HP(55 digits)
"anisotropic_(0.01,1,100)",0.01,1,100,1,0.7666666666666666666666667,0.486289650954788,1863.3550492096187740842585146582246,7.9362790883194808596,385.119311128498,882.09,HP(55 digits)
"anisotropic_(0.01,1,100)",0.01,1,100,2,0.6766666666666666666666667,0.0539115909933551,403174.19093970577605810965027742102,2.3397820484363036974,670.989570911362,882.09,HP(55 digits)
"anisotropic_(0.01,1,100)",0.01,1,100,3,0.6676666666666666666666667,0.00543645434382414,196325299.10613692986740779471269434,1.1683144251724879786,835.928933132631,882.09,HP(55 digits)
"anisotropic_(0.01,1,100)",0.01,1,100,4,0.6667666666666666666666667,0.000544090452297925,170590823551.43899364689685915670005,1.0176658863535319455,876.65374301438,882.09,HP(55 digits)
"anisotropic_(0.01,1,100)",0.01,1,100,5,0.6666766666666666666666667,5.44134874378558e-5,167886181369194.59314462836135541267,1.0017765721462023908,881.535997894767,882.09,HP(55 digits)
"anisotropic_(0.01,1,100)",0.01,1,100,6,0.6666676666666666666666667,5.4413931578915e-6,167614134375043035.04664244377740734,1.0001777591280086996,882.034493183848,882.09,HP(55 digits)
"anisotropic_(0.01,1,100)",0.01,1,100,7,0.6666667666666666666666667,5.44139759922234e-7,167586913504177722755.15549415304155,1.0000177769340704283,882.084448249398,882.09,HP(55 digits)
"anisotropic_(0.01,1,100)",0.01,1,100,8,0.6666666766666666666666667,5.44139804335463e-8,167584191255023474878441.40778979219,1.00000177770362188,882.089444814247,882.09,HP(55 digits)
"anisotropic_(0.01,1,100)",0.01,1,100,9,0.6666666676666666666666667,5.44139808776785e-9,167583919028487018726952721.58750416,1.0000001777704643385,882.089944481318,882.09,HP(55 digits)
"anisotropic_(0.01,1,100)",0.01,1,100,10,0.6666666667666666666666667,5.44139809220917e-10,167583891805817162443869804203.68864,1.0000000177770474554,882.089994448131,882.09,HP(55 digits)
