mode,status,strictP,class,mismatch,kappa,T1,T_alpha,gap_cain,gap_frac,direct_min_margin_alpha,direct_min_margin_alpha1,float_err_est,X,Y,Z,s,a,K,r,m,q1,q2,h,e1,e2,e3,mu1,mu2,c1,c2
lognormal:0.02,feasible,True,frac_only,False,17.929622191359755,17.92881572386878,39.438066726125875,4.498163757138407e-05,-0.5453726898970375,0.15706861943832906,-1.1013241160595655e-05,1.4727425648251564e-15,1.0008670129954818,0.036828807378389984,0.0018852091737427811,0.04964371418371514,0.49699754276865715,1.100835829256015,0.10926116674340743,0.20483349070019627,0.070057244228014209,1.4284796432424496,0.070999788451068468,0.49024720106445807,0.0012579667181252913,0.51778351018392221,0.032330659820210904,0.003058303850413599,0.051878858986971581,0.049943401918723936
lognormal:0.02,feasible,True,frac_only,False,18.083408171089513,18.082575854028377,39.74287024320162,4.602867798553234e-05,-0.5449898796833165,0.1570683534729307,-1.1279206558967303e-05,1.4664720761393928e-15,1.0028269006259143,0.035914672325974076,0.002039224176291028,0.049426565996110484,0.51386692820816016,1.1067858722715087,0.108725024893012,0.19136852165536061,0.071267399290202441,1.4242046541373836,0.069365445852911753,0.502859883125227,0.0012672626483786436,0.49045328273496003,0.034030598726733099,0.0029286992862595836,0.049193675982616675,0.050548475973522855
boundary,feasible,True,frac_only,False,18.02211814678608,18.02128861471336,39.625740616636534,4.6030674634600643e-05,-0.545191638911106,0.1570683582577428,-1.1274421746865215e-05,1.4699221239772801e-15,0.9030834975544377,0.0448805864755202,0.0017842982193665602,0.054426843754090924,0.5040619792464659,1.0022859760491674,0.11796759872044804,0.20256645008149046,0.076545731353797608,1.3323004016119335,0.067326647414610086,0.49635388125136271,0.0012234089403613472,0.49398376596892535,0.032105601871493909,0.002880283290304749,0.046474766493110074,0.047271667323820307
lognormal:0.02,feasible,True,classical,False,17.788742095352266,17.789593465950627,39.16285020288798,-4.785778831828402e-05,-0.5457750903421101,0.15709134142826642,1.1708748776761979e-05,1.4786198935411625e-15,1.0047842127097848,0.035512311177989045,0.0013523908491821638,0.05218040172579562,0.48607678687602845,1.0840538706147693,0.11036902904723245,0.20399625371896538,0.068384444751815043,1.4096935205525791,0.072128162557758002,0.51369493032572189,0.0012610875787843947,0.51323491792494824,0.033401050700013937,0.0030334843848980266,0.050636236623660069,0.049828064647839898
lognormal:0.02,feasible,True,classical,False,17.925069052184803,17.925938149676305,39.43317530045006,-4.8482678242312005e-05,-0.5454317610588103,0.15709150349365797,1.187081416831326e-05,1.4730252083808609e-15,1.0516174974243833,0.03197203981383411,0.0017266124016338232,0.050625819482615686,0.5070241681490818,1.1372765114612,0.11023471189832398,0.19875177979547859,0.067661052150773865,1.3783731113972433,0.071937090272392937,0.50701216893528156,0.0012770921516034146,0.50988526538627288,0.034355355889917352,0.0029393674546574181,0.04992332370331546,0.048956224032338735
lognormal:0.02,feasible,True,frac_only,False,18.07081821813831,18.069938125892946,39.717259806784234,4.8704773598640116e-05,-0.5450134700619106,0.1570676983578947,-1.1934321594964103e-05,1.4668636008988061e-15,1.0042955396062072,0.040284989070637205,0.002748743123082849,0.04858745477459741,0.48126472018477334,1.1317761719226322,0.10894273639001426,0.19629779404415879,0.069853502516963456,1.404348177780278,0.071358322798407689,0.4951598120232597,0.0012406095427557658,0.48813022763855135,0.032524415092104596,0.0030175267033098669,0.050059918959534246,0.049265388908994762
m_sweep,feasible,True,classical,False,17.877061732668768,17.87797385042203,39.338388794818584,-5.1019078610048396e-05,-0.5455568395057546,0.15709212105564352,1.2488376153863001e-05,1.475056380923776e-15,0.9999185751417601,0.047615433758047804,0.004222910381822947,0.04556727792877018,0.5025496176692249,1.176034731769942,0.11150832102903999,0.19598161296860581,0.069448746745716702,1.3328112074430896,0.068244573020113164,0.51111502118081298,0.0012621186923740596,0.50605547736778855,0.032836894951817505,0.0031087568229105659,0.049738530729756925,0.051551380848116418
lognormal:0.02,feasible,True,classical,False,17.81472503240957,17.815641965032427,39.21407073788057,-5.146784071308197e-05,-0.5457057964859372,0.15709222672828282,1.259404879316861e-05,1.4774540948858258e-15,0.9735923435752608,0.043752525425037526,0.0037719306764122927,0.046869454677681846,0.48813875976446847,1.1344153302157933,0.11276562335600541,0.20781054230559506,0.0711943316828825,1.3945575038967959,0.070745733559721261,0.50953599827204432,0.0012258559687471588,0.49915549732262116,0.032726733165297756,0.0030153328229590277,0.053128992060402364,0.051455740215857339
lognormal:0.02,feasible,True,classical,False,18.291203585795692,18.292155967436223,40.15806484038113,-5.206502952559422e-05,-0.5445197955006316,0.15709240657621404,1.2773896724382894e-05,1.4579312998167815e-15,1.0043138334151323,0.03701957044251678,0.0015498834510650637,0.04885004217429031,0.50633071239997729,1.0969444459217286,0.10562828856561629,0.19495415757546519,0.070840100683292717,1.3913602158580662,0.070563150989179244,0.4870318459655828,0.0012939239713436555,0.49184075767293961,0.032709565231851617,0.0030179999519595632,0.049468114242167446,0.048310531761647013
lognormal:0.02,feasible,True,frac_only,False,18.022600807267075,18.021632767364057,39.62153596178384,5.371543830201553e-05,-0.5451311926763664,0.15706647414337094,-1.315853611871809e-05,1.4688374711033822e-15,0.9988937555829204,0.03726013600097072,0.0024885561575193993,0.05072592600086119,0.50005865607539079,1.1129109398572337,0.11270355767124816,0.19518227849172207,0.071149672170460046,1.4224874674808063,0.070048537709018144,0.494897179258456,0.0012977862373045007,0.51678613803400641,0.033128903919116374,0.0030670148054386566,0.050176832340575211,0.050571000916459587
