beta12,beta13,beta23,alpha,T1,T_Phi,T_alpha,certified_band_fraction,T_Phi_over_T_alpha,x1*,x2*,x3*
0.0158489319246,0.0158489319246,0.0398107170553,0.7,0.203681902014,24.0545600523,4132.68796466,0.00577155931356,0.00582056043379,0.333687813011,0.333156093495,0.333156093495
0.0158489319246,0.0158489319246,0.063095734448,0.7,0.252982568553,29.8769027943,4139.07701509,0.00715756939484,0.00721825244745,0.334031155398,0.332984422301,0.332984422301
0.0158489319246,0.0158489319246,0.1,0.7,0.32263859592,38.1031864097,4149.18871791,0.00910623459316,0.00918328593859,0.334573063093,0.332713468454,0.332713468454
0.0158489319246,0.0158489319246,0.158489319246,0.7,0.422359940395,49.8801437411,4165.17922151,0.0118753111993,0.0119755095972,0.335426335416,0.332286832292,0.332286832292
0.0158489319246,0.0158489319246,0.251188643151,0.7,0.566967308641,66.9580804113,4190.43475299,0.0158456343968,0.0159787908316,0.336764889257,0.331617555372,0.331617555372
0.0158489319246,0.0158489319246,0.398107170553,0.7,0.779234192142,92.0265152883,4230.24704997,0.0215741755395,0.0217544068233,0.338852701175,0.330573649413,0.330573649413
0.0158489319246,0.0158489319246,0.63095734448,0.7,1.09435307218,129.241633315,4292.8251373,0.0298591143495,0.0301064285598,0.34208083884,0.32895958058,0.32895958058
0.0158489319246,0.0158489319246,1,0.7,1.56696589242,185.056574915,4390.77132886,0.041804754085,0.0421467120592,0.347007548954,0.326496225523,0.326496225523
0.0158489319246,0.0158489319246,1.58489319246,0.7,2.28224619714,269.530221686,4543.1645613,0.058853755051,0.0593265372735,0.354386401536,0.322806799232,0.322806799232
0.0158489319246,0.0158489319246,2.51188643151,0.7,3.3733870852,398.392500355,4778.40677381,0.0827259374494,0.0833735006693,0.365153639873,0.317423180063,0.317423180063
0.0158489319246,0.0158489319246,3.98107170553,0.7,5.04922200584,596.30636181,5138.05874329,0.115187228341,0.116056742751,0.380338280563,0.309830859719,0.309830859719
0.0158489319246,0.0158489319246,6.3095734448,0.7,7.63788023657,902.02343461,5682.17029618,0.157613965137,0.158746286646,0.400877316175,0.299561341912,0.299561341912
0.0158489319246,0.0158489319246,10,0.7,11.6558244099,1376.5372645,6497.26416182,0.210447712702,0.211864136999,0.427373058979,0.286313470511,0.286313470511
0.0158489319246,0.0158489319246,15.8489319246,0.7,17.9170765868,2115.98276753,7709.14895286,0.272786690701,0.274476830123,0.459885730852,0.270057134574,0.270057134574
0.0158489319246,0.0158489319246,25.1188643151,0.7,27.7060894207,3272.05208315,9503.90814943,0.342367751677,0.344284901716,0.497851770581,0.251074114709,0.251074114709
0.0158489319246,0.0158489319246,39.8107170553,0.7,43.0514257219,5084.31576455,12161.7793216,0.415989564429,0.418056900237,0.540151485327,0.229924257337,0.229924257337
0.0158489319246,0.0158489319246,63.095734448,0.7,67.1591301757,7931.40339861,16110.8230069,0.49017757595,0.492302807574,0.585282603148,0.207358698426,0.207358698426
0.0158489319246,0.0158489319246,100,0.7,105.099097375,12412.062752,22011.1928079,0.561805487426,0.563897779659,0.63157579202,0.18421210399,0.18421210399
0.0158489319246,0.0251188643151,0.0251188643151,0.7,0.196134881784,23.1632670628,4131.20084055,0.00555969644612,0.00560690897316,0.333401968975,0.333401968975,0.333196062051
0.0158489319246,0.0251188643151,0.0398107170553,0.7,0.234167041428,27.6548142206,4135.23638722,0.00663135004991,0.0066876017792,0.333619170793,0.333293363619,0.333087465588
0.0158489319246,0.0251188643151,0.063095734448,0.7,0.286835764301,33.8749199084,4141.62658425,0.00811043917766,0.00817913426509,0.333962508869,0.333121687466,0.332915803665
0.0158489319246,0.0251188643151,0.1,0.7,0.360731923375,42.6019574042,4151.74010261,0.0101752265233,0.0102612293523,0.334504410272,0.332850725321,0.332644864407
0.0158489319246,0.0251188643151,0.158489319246,0.7,0.465791277407,55.0093265205,4167.73347936,0.0130885604971,0.0131988589944,0.335357673953,0.332424074932,0.332218251116
0.0158489319246,0.0251188643151,0.251188643151,0.7,0.617118801531,72.8809046068,4192.99355366,0.0172369506718,0.0173815923335,0.336696217321,0.331754772848,0.331549009831
0.0158489319246,0.0251188643151,0.398107170553,0.7,0.837845860037,98.9484748302,4232.81302309,0.0231831768527,0.0233765286325,0.338784020305,0.330710820793,0.330505158901
0.0158489319246,0.0251188643151,0.63095734448,0.7,1.16361546938,137.421429735,4295.40240826,0.0317303766373,0.0319926788398,0.342012161477,0.329096664564,0.328891173959
0.0158489319246,0.0251188643151,1,0.7,1.64963676339,194.819894144,4393.36632856,0.043985136323,0.044344104173,0.346938915975,0.326633139443,0.326427944582
0.0158489319246,0.0251188643151,1.58489319246,0.7,2.38179733649,281.287078019,4545.78721206,0.0613868354734,0.0618786284744,0.354317918346,0.322943379021,0.322738702633
0.0158489319246,0.0251188643151,2.51188643151,0.7,3.49418922334,412.659071208,4781.07214071,0.0856427432768,0.0863109903098,0.365085540106,0.317559111752,0.317355348141
0.0158489319246,0.0251188643151,3.98107170553,0.7,5.19677756641,613.732476049,5140.78916438,0.118493769101,0.119384875828,0.380271016552,0.309965581013,0.309763402435
0.0158489319246,0.0251188643151,6.3095734448,0.7,7.81911636048,923.427178306,5684.99785856,0.161278709642,0.162432282523,0.400811648295,0.299693936608,0.299494415097
0.0158489319246,0.0251188643151,10,0.7,11.8794618509,1402.948547,6500.23325837,0.214394764647,0.215830492728,0.427310083627,0.286442611354,0.286247305019
0.0158489319246,0.0251188643151,15.8489319246,0.7,18.1940941234,2148.69816788,7712.31870568,0.276900125916,0.278605987366,0.45982678674,0.270181139197,0.269992074063
0.0158489319246,0.0251188643151,25.1188643151,0.7,28.050308516,3312.70389766,9507.35478193,0.346507868626,0.34843591868,0.497798219618,0.251191136286,0.251010644096
0.0158489319246,0.0251188643151,39.8107170553,0.7,43.4802465673,5134.95893253,12165.5989064,0.420015578863,0.422088462067,0.5401044416,0.230032559157,0.229862999244
0.0158489319246,0.0251188643151,63.095734448,0.7,67.6944583141,7994.62493536,16115.135163,0.493968516408,0.496094190616,0.585242715836,0.207456917826,0.207300366338
0.0158489319246,0.0251188643151,100,0.7,105.768510251,12491.1195168,22016.1458522,0.56527328641,0.567361771705,0.631543155073,0.184299424521,0.184157420407
0.0158489319246,0.0398107170553,0.0398107170553,0.7,0.275567257406,32.5441243241,4139.27308073,0.00779622528442,0.00786228008865,0.333510560795,0.333510560795,0.332978878411
