beta12,beta13,beta23,k,one_minus_alpha,T1,C_beta,T_alpha,rate_(T-T1)/(1-alpha),rel_err_vs_C,D_estimate
0.9890201540070646,25.23830972779675,1.7593808045637336,6,1e-6,53.9444109983928375589964173412,339.390869328340888191151516299,53.9447503908863386653476036933569843907,339.392493501106351186352205303,4.7855523e-6,1624.1727654629952007
0.9890201540070646,25.23830972779675,1.7593808045637336,7,1e-7,53.9444109983928375589964173412,339.390869328340888191151516299,53.94444493749601205772534818836047630692,339.391031744987289308472087952,4.7855338e-7,1624.1664640111732057
0.9890201540070646,25.23830972779675,1.7593808045637336,8,1e-8,53.9444109983928375589964173412,339.390869328340888191151516299,53.94441439230169325898868609089342347204,339.390885569999226874974174233,4.7855319e-8,1624.1658338683822658
0.9890201540070646,25.23830972779675,1.7593808045637336,9,1e-9,53.9444109983928375589964173412,339.390869328340888191151516299,53.94441133778370851150307638643028173861,339.390870952506659045278600601,4.7855317e-9,1624.1657708541270843
0.9890201540070646,25.23830972779675,1.7593808045637336,10,1e-10,53.9444109983928375589964173412,339.390869328340888191151516299,53.94441103233192450807216380579385082072,339.390869490757464646421696827,4.7855317e-10,1624.1657645527018053
0.3396890646181284,1.277390252014703,0.2883159986472006,2,1e-2,5.0624822551769264833926379779,46.4188710940454209716809914094,5.554974849748424852673288794726253269446,49.2492594571498369280650816824,0.06097495,283.03883631044159564
0.3396890646181284,1.277390252014703,0.2883159986472006,3,1e-3,5.0624822551769264833926379779,46.4188710940454209716809914094,5.109171595791447833833942437573100596675,46.6893406145213504413044596709,0.0058267147,270.46952047592946962
0.3396890646181284,1.277390252014703,0.2883159986472006,4,1e-4,5.0624822551769264833926379779,46.4188710940454209716809914094,5.067126834963627305736408547992142176636,46.4457978670082234377057008997,0.00058008246,269.26772962802466025
0.3396890646181284,1.277390252014703,0.2883159986472006,5,1e-5,5.0624822551769264833926379779,46.4188710940454209716809914094,5.062946470802674844107087900904472205485,46.4215625748360714449923002305,5.798247e-5,269.14807906504733113
0.3396890646181284,1.277390252014703,0.2883159986472006,6,1e-6,5.0624822551769264833926379779,46.4188710940454209716809914094,5.062528674317156648085599405661463383176,46.419140230164692961427759296,5.7979893e-6,269.13611927198974677
0.3396890646181284,1.277390252014703,0.2883159986472006,7,1e-7,5.0624822551769264833926379779,46.4188710940454209716809914094,5.062486897066727237168188090992437921998,46.4188980075377555011309027054,5.7979636e-7,269.13492334529449911
0.3396890646181284,1.277390252014703,0.2883159986472006,8,1e-8,5.0624822551769264833926379779,46.4188710940454209716809914094,5.062482719365664337327223009817838801878,46.4188737853934585031915671421,5.797961e-8,269.13480375315105757
0.3396890646181284,1.277390252014703,0.2883159986472006,9,1e-9,5.0624822551769264833926379779,46.4188710940454209716809914094,5.062482301595797846572850743525133019991,46.4188713631802127656229656391,5.7979607e-9,269.13479179394197423
0.3396890646181284,1.277390252014703,0.2883159986472006,10,1e-10,5.0624822551769264833926379779,46.4188710940454209716809914094,5.062482259818813595488527981050477706906,46.4188711209589000314831032597,5.7979607e-10,269.1347905980211185
2.176504267880788,0.9819088830941076,0.055894011554026596,2,1e-2,7.304210683229446260603054522,72.3737996195774078809384142066,8.057889794064636508173939896608153032972,75.3679110835190247570885374604,0.041370102,299.41114639416168762
2.176504267880788,0.9819088830941076,0.055894011554026596,3,1e-3,7.304210683229446260603054522,72.3737996195774078809384142066,7.376861668724306498612417622683738533419,72.6509854948602380093631006792,0.0038299202,277.18587528283012842
2.176504267880788,0.9819088830941076,0.055894011554026596,4,1e-4,7.304210683229446260603054522,72.3737996195774078809384142066,7.311450813094916562586129365883389016988,72.4012986547030198307484387881,0.00037995843,274.9903512561194981
2.176504267880788,0.9819088830941076,0.055894011554026596,5,1e-5,7.304210683229446260603054522,72.3737996195774078809384142066,7.304934448702748793036309169622461701879,72.3765473302532433254647617883,3.7965544e-5,274.77106758354445263
2.176504267880788,0.9819088830941076,0.055894011554026596,6,1e-6,7.304210683229446260603054522,72.3737996195774078809384142066,7.30428305730381497993007200038675284479,72.3740743687193270174783821745,3.7962515e-6,274.74914191913653997
2.176504267880788,0.9819088830941076,0.055894011554026596,7,1e-7,7.304210683229446260603054522,72.3737996195774078809384142066,7.304217920612155687837640033930649877945,72.3738270942723458551192607154,3.7962212e-7,274.74694937974180847
