mech,index,alpha,a11,a12,a13,a21,a22,a23,a31,a32,a33,float_mismatch,hp_dps,theorem_pred_member,gap_kappa_over_T_minus_1,hp_min_margin,hp_margin_independent_start,consistent
M4a,380122,0.6666667666666666,-0.036531033695399014,-788859.2000000328,-3.4214907474204763e-09,-6.417641847174264e-08,-3.483479186769974,819527.5622443905,94559576.582486,9.942156001130558e-06,-2.866558873685597,False,40,True,-6.39947851079e-10,3.35075979503e-17,3.35075979503e-17,True
M4a,192490,0.6666667666666666,-73.47806482469156,1.8375684745629527e-06,9217352.187857853,-9515253508.35323,-316.08705528911173,2.8480516391447337e-06,-9.062505299346242e-05,555450563.3181423,-12.516273770969168,False,40,True,-6.4012201422e-10,3.35167158676e-17,3.35167158676e-17,True
M4a,323787,0.6666667666666666,-0.9877420598354585,253983.09671995547,-3.2823635547764197e-09,-2.2281004194052243e-05,-1.3078752194143892,3382171.4372412385,-257711199.38266876,2.729697109063123e-07,-1.0225657861048256,False,40,True,-6.43031179305e-10,3.36690426604e-17,3.36690426604e-17,True
M4a,324208,0.6666667666666666,-11.740994167056074,1.0933633854213797e-06,-3481461.466180251,13697171.322803875,-9.421070046843258,2.3247962033584868e-08,-6.724449713535448e-08,10044456.039384289,-0.025839348640875046,False,40,True,-6.44076908239e-10,3.37237872919e-17,3.37237872919e-17,True
M4a,115160,0.6666667666666666,-0.2314003528948779,-993750.2757557317,-2.7488918536896227e-08,-1.3420946909616385e-07,-2.0109818260013292,4000489.572801046,82556606.11383721,1.3433857972610348e-06,-4.2085993053016635,False,40,True,-6.53463902833e-10,3.42152959434e-17,3.42152959434e-17,True
M4a,325969,0.6666667666666666,-0.4149139994641856,-3.2128854529864742e-09,295406.7935536242,-117389.48995903331,-0.0015800751904789397,3.906595181030619e-10,-3.0230599913324647e-08,45797.68235385093,-0.014455228432408972,False,40,True,-6.54896163215e-10,3.42902862846e-17,3.42902862846e-17,True
M4a,151606,0.6666667666666666,-3.8553272879730267,23158473.144344747,1.846453145952351e-06,1.8021569088503593e-06,-17.149909139712587,-260763613.41250047,1068828.3338583237,-3.62248108344345e-08,-0.5825183434981129,False,40,True,-6.56536297062e-10,3.4376158126e-17,3.4376158126e-17,True
M4a,126172,0.6666667666666666,-0.16098354502713996,-6.930385145100425e-10,1253874.9597103407,-26929808.736809794,-0.43679983022613433,-5.464571421521559e-07,1.419633119692124e-07,898959.0014249348,-2.575912303474638,False,40,True,-6.58821362596e-10,3.44958084537e-17,3.44958084537e-17,True
M4a,330504,0.6666667666666666,-0.21992845243436554,-6.307860052050686e-06,1406562.1261130767,3756708.7896311055,-9.195549107030455,-1.0712071914982246e-07,1.046472404144599e-09,-492318.84290326404,-0.0076757468596564,False,40,True,-6.58906397163e-10,3.45002824557e-17,3.45002824557e-17,True
M4a,151866,0.6666667666666666,-1.9901582864562537,3.353489070963234e-07,-160439.03577379836,1027156.6941172252,-0.28076271938051717,-4.237934025853055e-10,-9.147459413387814e-06,2372982176.004593,-4.1762046508402095,False,40,True,-6.80963462175e-10,3.56551668593e-17,3.56551668593e-17,True
