rank,regime,beta12,beta13,beta23,alpha,T,x1,x2,x3,float_err_dT_b12,float_err_dT_b13,float_err_dT_b23,float_err_dT_alpha,float_err_dx_max,hess_min_eig,hess_cond,hp_err_dT_b12,hp_err_dT_b13,hp_err_dT_b23,hp_err_dT_alpha,hp_err_euler,dx1_dalpha_fd,dx2_dalpha_fd,dx3_dalpha_fd
416,near_1,0.6543280718,0.896415284,3.213121815,0.999999983881,12.5898372669,0.5051886166,0.2668361075,0.227975276,1.64e-12,4.49e-13,3.21e-13,5.55e-07,3.2e-12,0.1706,4.225,1.06e-34,1e-34,6.76e-35,2.95e-33,0,0.399115,-0.154432,-0.244683
417,near_1,0.3191350537,2.06914697,0.2589074353,0.99999998705,6.31116389427,0.2025431571,0.5725863023,0.2248705407,1.05e-12,7.38e-13,3.82e-13,5.47e-07,5.04e-12,0.1598,4.084,1.06e-34,5.84e-35,1.09e-34,8.96e-32,2.63e-46,-0.63458,1.16083,-0.526249
418,near_23,0.3704706032,0.087743918,4.405148496,0.666670817508,2.34333772457e+15,0.33334032,0.3333294853,0.3333301948,1.38e-07,5.46e-07,3.33e-08,2.8e-07,1.84e-07,0.3333,3,1.38e-36,7.91e-36,2.26e-37,1.75e-28,3.64e-41,1.68314,-0.927041,-0.756102
419,near_23,3.284325067,0.6070619801,1.535608803,0.666668968596,1.37392577769e+16,0.3333329529,0.3333316606,0.3333353866,1.14e-07,5.44e-07,7.3e-08,2.82e-07,4.65e-08,0.3333,3,4.09e-37,4.59e-36,9.11e-37,1.75e-28,6.2e-41,-0.165283,-0.726679,0.891962
420,near_23,0.2806560525,1.096489514,0.7639630299,0.6666686891,2.02586666345e+16,0.3333333948,0.3333338014,0.3333328038,2.82e-07,1.19e-07,5.44e-07,2.8e-07,1.65e-07,0.3333,3,2.15e-36,3.45e-36,3.66e-36,1.75e-28,9.11e-41,0.0303878,0.231433,-0.26182
421,near_1,0.3964123727,7.939663006,0.684106799,0.999999988234,18.2710194785,0.1934998315,0.6592037301,0.1472964384,1.6e-12,2.2e-13,3.94e-13,5.32e-07,1.88e-10,0.1165,5.534,1.17e-34,4.66e-35,1.1e-34,3.12e-32,0,-0.369293,0.860608,-0.491314
422,near_23,6.148390462,0.1784543103,0.4772173182,0.666675476194,2.45138376747e+14,0.3333237959,0.3333222046,0.3333539995,3.59e-09,5.26e-07,3.3e-07,2.8e-07,3.4e-08,0.3333,3,6.78e-38,1.04e-36,6.31e-37,1.75e-28,2.91e-41,-1.08253,-1.26317,2.3457
423,near_23,0.6608599523,2.168737662,0.8903275466,0.666669613285,6.55037111926e+15,0.3333327104,0.3333349879,0.3333323016,5.12e-07,9.72e-08,5.2e-07,2.8e-07,4.75e-08,0.3333,3,1.99e-36,1.53e-37,2.48e-37,1.75e-28,8.62e-41,-0.211393,0.561521,-0.350129
424,near_1,5.251161068,0.5258382421,1.733399371,0.999999972995,18.7772713069,0.3038317238,0.1673439058,0.5288243704,7.35e-14,6.04e-13,7.24e-13,5.13e-07,2.68e-10,0.2262,2.103,6.44e-35,1.14e-34,9.52e-35,3.04e-32,4.38e-46,-0.0484366,-0.272527,0.320964
425,near_1,0.1790342612,5.26155901,2.537737272,0.999999981738,18.5757658356,0.3696153436,0.5322110406,0.09817361578,2.2e-12,1.12e-12,7.19e-13,5.08e-07,3.19e-12,0.08821,9.927,1.23e-34,6.4e-35,8.62e-35,5.1e-33,5.25e-46,0.0915271,0.501703,-0.59323
426,near_23,12.10697228,1.301296792,1.327690105,0.666668866797,1.57365574873e+16,0.3333285657,0.3333285306,0.3333429036,2.8e-08,5.02e-07,2.4e-07,2.78e-07,2.5e-08,0.3333,3,2.06e-37,2.06e-36,1.72e-36,1.75e-28,7.42e-41,-2.16686,-2.18282,4.34967
427,near_1,0.1288745526,7.455526539,0.9404352617,0.999999970455,16.4773719313,0.2389024207,0.6726593993,0.08843818005,4.34e-14,1.14e-12,1.03e-12,5.02e-07,4.48e-12,0.07834,9.264,1.25e-34,4.48e-35,1.04e-34,1.1e-32,1.75e-46,-0.352113,1.26527,-0.913163
428,near_23,2.813493497,4.280416839,0.8447070565,0.66666814581,5.17855911159e+16,0.3333317223,0.3333347948,0.3333334829,1.77e-07,5.88e-08,4.97e-07,2.83e-07,4.84e-08,0.3333,3,8.46e-37,6.46e-37,1.59e-36,1.75e-28,8.7e-41,-1.08917,0.988021,0.101146
