family,beta12,beta13,beta23,alpha_name,alpha,status,method,unconditional_certified,conditional_certified,L,U,mid,rel_width,x1_hat,x2_hat,x3_hat,x_enclosure_radius,core_rho,T1,hp_T_dps50,hp_in_bracket,closed_form_27h,closed_form_in_bracket,dps,boxes,seconds,method,reason
A,316.227766017,316.227766017,316.227766017,2/3+1e-8,0.666666676666666666666666666666666666666666667,CERTIFIED,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),True,True,167586767873062460102111.924763944759053333368,167586767873062460102111.924763944759053333578,167586767873062460102111.924763944759053333473,1.25254e-42,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,1.5458e-50,0.01875,2846.049894153,167586767873062460102111.924763944759053333462,True,167586767873062460102111.924763944759053333462,True,50,349,0.36,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),
A,316.227766017,316.227766017,316.227766017,2/3+1e-7,0.666666766666666666666666666666666666666666667,CERTIFIED,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),True,True,167612679700972638092.008007181190802075602161,167612679700972638092.008007181190802075602182,167612679700972638092.008007181190802075602172,1.25261e-43,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,1.54598e-50,0.01875,2846.049894153,167612679700972638092.008007181190802075602171,True,167612679700972638092.008007181190802075602171,True,50,349,0.37,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),
A,316.227766017,316.227766017,316.227766017,2/3+1e-6,0.666667666666666666666666666666666666666666667,CERTIFIED,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),True,True,167871798011000381.052577600792026401366583035,167871798011000381.052577600792026401366583038,167871798011000381.052577600792026401366583037,1.84304e-44,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,1.54782e-50,0.01875,2846.049894153,167871798011000381.052577600792026401366583036,True,167871798011000381.052577600792026401366583036,True,50,349,0.45,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),
A,316.227766017,316.227766017,316.227766017,2/3+1e-5,0.666676666666666666666666666666666666666666667,CERTIFIED,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),True,True,170463011561684.38651179876238141343666924906,170463011561684.386511798762381413438513903832,170463011561684.386511798762381413437591578062,1.08214e-35,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,1.34559e-40,0.01875,2846.049894153,170463011561684.38651179876238141343769643136,True,170463011561684.38651179876238141343769643136,True,40,351,0.44,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),
A,316.227766017,316.227766017,316.227766017,2/3+1e-4,0.666766666666666666666666666666666666666666667,CERTIFIED,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),True,True,196401529262.628818156539112119958144887661086,196401529262.628818156539112119958145109570814,196401529262.62881815653911211995814499861595,1.12988e-36,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,1.52826e-40,0.01875,2846.049894153,196401529262.628818156539112119958145003349708,True,196401529262.628818156539112119958145003349708,True,40,399,0.3,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),
A,316.227766017,316.227766017,316.227766017,2/3+1e-3,0.667666666666666666666666666666666666666666667,CERTIFIED,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),True,True,466710304.396941055248891123861829553656840519,466710304.396941055248891123861829553740638502,466710304.396941055248891123861829553698736429,1.7955e-37,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,1.75622e-39,0.01875,2846.049894153,466710304.396941055248891123861829553708651481,True,466710304.396941055248891123861829553708651481,True,40,551,0.42,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),
A,316.227766017,316.227766017,316.227766017,2/3+1e-2,0.676666666666666666666666666666666666666666667,CERTIFIED,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),True,True,4248996.48087474083797878700489081993317152537,4248996.48087474083797878700489081993323960699,4248996.48087474083797878700489081993320561433,1.6023e-38,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,1.03009e-39,0.009375,2846.049894153,4248996.48087474083797878700489081993321797704,True,4248996.48087474083797878700489081993321797704,True,40,1045,0.8,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),
A,316.227766017,316.227766017,316.227766017,0.7,0.7,CERTIFIED,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),True,True,514689.586211220084481786644088153159489078069,514689.586211220084481786644088153159492857707,514689.586211220084481786644088153159490967888,7.34353e-39,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,3.10253e-40,0.0046875,2846.049894153,514689.586211220084481786644088153159491334601,True,514689.586211220084481786644088153159491334601,True,40,1373,1.03,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),
A,316.227766017,316.227766017,316.227766017,0.75,0.75,CERTIFIED,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),True,True,107513.887797083500046073509715735117542459514,107513.887797083500046073509715735117542728843,107513.887797083500046073509715735117542594931,2.50506e-39,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,3.46148e-40,0.0046875,2846.049894153,107513.887797083500046073509715735117542624043,True,107513.887797083500046073509715735117542624043,True,40,1497,1.15,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),
A,316.227766017,316.227766017,316.227766017,2/3+1e-1,0.766666666666666666666666666666666666666666667,CERTIFIED,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),True,True,78229.1842644076726372145225980965860214528265,78229.1842644076726372145225980965860216649797,78229.1842644076726372145225980965860215581508,2.71194e-39,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,3.50856e-40,0.0046875,2846.049894153,78229.1842644076726372145225980965860215830849,True,78229.1842644076726372145225980965860215830849,True,40,1519,1.27,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),
A,316.227766017,316.227766017,316.227766017,0.8,0.8,CERTIFIED,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),True,True,46662.6677007411792104523497101881577209224176,46662.6677007411792104523497101881577210096863,46662.6677007411792104523497101881577209660519,1.8702e-39,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,3.55203e-40,0.0046875,2846.049894153,46662.6677007411792104523497101881577209753349,True,46662.6677007411792104523497101881577209753349,True,40,1543,1.25,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),
A,316.227766017,316.227766017,316.227766017,0.85,0.85,CERTIFIED,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),True,True,25140.8749932309297365980946315647659400167063,25140.8749932309297365980946315647659400629738,25140.874993230929736598094631564765940039652,1.84033e-39,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,3.51907e-40,0.0046875,2846.049894153,25140.874993230929736598094631564765940046975,True,25140.874993230929736598094631564765940046975,True,40,1547,1.21,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),
A,316.227766017,316.227766017,316.227766017,0.9,0.9,CERTIFIED,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),True,True,14453.4753401049095881836162527332614531382843,14453.4753401049095881836162527332614531610419,14453.475340104909588183616252733261453149569,1.57454e-39,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,3.35591e-40,0.0046875,2846.049894153,14453.4753401049095881836162527332614531533991,True,14453.4753401049095881836162527332614531533991,True,40,1513,1.28,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),
A,316.227766017,316.227766017,316.227766017,1-1e-1,0.9,CERTIFIED,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),True,True,14453.4753401049095881836162527332614531382843,14453.4753401049095881836162527332614531610419,14453.475340104909588183616252733261453149569,1.57454e-39,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,3.35591e-40,0.0046875,2846.049894153,14453.4753401049095881836162527332614531533991,True,14453.4753401049095881836162527332614531533991,True,40,1513,1.22,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),
A,316.227766017,316.227766017,316.227766017,0.95,0.95,CERTIFIED,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),True,True,7835.0765671918222204424387583714915432117528,7835.07656719182222044243875837149154322303754,7835.07656719182222044243875837149154321739517,1.44029e-39,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,1.47344e-38,0.009375,2846.049894153,7835.07656719182222044243875837149154321919576,True,7835.07656719182222044243875837149154321919576,True,40,1279,1.04,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),
