id,tags,alpha,a11,a12,a13,a21,a22,a23,a31,a32,a33,beta12,beta13,beta23,kappa,T1,T_alpha_hp40,T_alpha_label,T_alpha_certified_L,T_alpha_certified_U,m_Cain,m_frac,m_Cain_over_T1,m_frac_over_Talpha,band_position_(kappa-T1)/(Talpha-T1),x_star,D_star_geomean1,direct_margin_at_D_star_rad,direct_global_min_margin_float,direct_global_min_margin_alpha1_float,hurwitz_at_I,max_Re_eig_A,D_H_cain_minimiser_geomean1,max_Re_eig_D_H_A,g,L3,l123,l132,Phi,C11_certificate_passes,independent_checks_consistent
W21,4 mixed ecological signs; 10 non-Hurwitz at I,0.7,-1,-3,1/2,0,-1,2,3/2,-1/2,-1,1,1/4,2,41/4,8.49264068711928514640506617263,4991.7391430065662495365232504347215,HP (40 digits),,,1.7573593128807148536,4981.4891430065662495,0.206927312437,0.997946607444,0.00035265349849,0.3508048166 0.3169427969 0.3322523863,1.0533208966 0.9516473412 0.9976156678,0.45488925721611757332,0.4351864949588107,-0.03605240307965829,False,0.0200131920304887,1.5874010519 0.5612310241 1.1224620483,0.0622042923743258,0 3/4 -1,-9,-9,0,0.828550310938467,True,True
W22,"9 Hurwitz at I, not D-stable; 2 generic nonsymmetric strict-P",0.7,-1,-3/2,0,-1/2,-1,-3,-3,0,-2,1/4,1,1,7,6.25,4726.9397010403383697411696409746509,HP (40 digits),,,0.75,4719.9397010403383697,0.12,0.998519126445,0.000158875089764,0.3384538075 0.3384538075 0.3230923848,1.2795803414 1.2795803414 0.6107519770,0.46209284707788104727,0.45051844393720386,-0.020720454101265107,True,-0.0788951507643413,1.5874010519 1.5874010519 0.3968502629,0.0384323697163698,3/4 0 0,-27/4,-27/4,0,0.892857142857143,True,True
W23,"9 Hurwitz at I, not D-stable; 2 generic nonsymmetric strict-P",0.7,-1,-3/2,0,-1/2,-1,3,3,0,-2,1/4,1,1,7,6.25,4726.9397010403383697411696409746509,HP (40 digits),,,0.75,4719.9397010403383697,0.12,0.998519126445,0.000158875089764,0.3384538075 0.3384538075 0.3230923848,1.2795803414 1.2795803414 0.6107519770,0.46209284707788104727,0.45051844393720386,-0.020720454101265107,True,-0.0788951507643413,1.5874010519 1.5874010519 0.3968502629,0.0384323697163698,3/4 0 0,-27/4,-27/4,0,0.892857142857143,True,True
W24,"9 Hurwitz at I, not D-stable; 2 generic nonsymmetric strict-P",0.7,-1,-1/2,-3,-3/2,-1,0,0,-3,-2,1/4,1,1,7,6.25,4726.9397010403383697411696409746509,HP (40 digits),,,0.75,4719.9397010403383697,0.12,0.998519126445,0.000158875089764,0.3384538075 0.3384538075 0.3230923848,1.2795803414 1.2795803414 0.6107519770,0.46209284707788104727,0.45051844393720364,-0.02072045410126533,True,-0.0788951507643413,1.5874010519 1.5874010519 0.3968502629,0.0384323697163698,3/4 0 0,-27/4,0,-27/4,0.892857142857143,True,True
W25,"9 Hurwitz at I, not D-stable; 2 generic nonsymmetric strict-P",0.7,-1,-1/2,3,-3/2,-1,0,0,3,-2,1/4,1,1,7,6.25,4726.9397010403383697411696409746509,HP (40 digits),,,0.75,4719.9397010403383697,0.12,0.998519126445,0.000158875089764,0.3384538075 0.3384538075 0.3230923848,1.2795803414 1.2795803414 0.6107519770,0.46209284707788104727,0.45051844393720364,-0.02072045410126533,True,-0.0788951507643413,1.5874010519 1.5874010519 0.3968502629,0.0384323697163698,3/4 0 0,-27/4,0,-27/4,0.892857142857143,True,True
W26,5 close to Cain boundary (integer),0.7,-1,-3,0,0,-1,-3,-3/2,3/2,-1,1,1,11/2,19,18.8808315196468591091312602271,6083.8910909070977741602131294574227,HP (40 digits),,,0.11916848035314089087,6064.8910909070977742,0.00631161187097,0.996876998665,1.96485208197e-5,0.3808272615 0.3095863692 0.3095863692,1.1480588022 0.9332928391 0.9332928391,0.49551059767494319359,0.469740438597799,-0.0014984594406699525,True,-0.115368231547812,1.7651741676 0.7526727940 0.7526727940,0.00360754046083817,0 0 -9/2,-27/2,-27/2,0,0.993727974718256,True,True
W27,5 close to Cain boundary (integer),0.7,-1,-3,0,0,-1,3,3/2,-3/2,-1,1,1,11/2,19,18.8808315196468591091312602271,6083.8910909070977741602131294574227,HP (40 digits),,,0.11916848035314089087,6064.8910909070977742,0.00631161187097,0.996876998665,1.96485208197e-5,0.3808272615 0.3095863692 0.3095863692,1.1480588022 0.9332928391 0.9332928391,0.49551059767494319359,0.469740438597799,-0.0014984594406699525,True,-0.115368231547812,1.7651741676 0.7526727940 0.7526727940,0.00360754046083817,0 0 -9/2,-27/2,-27/2,0,0.993727974718256,True,True
W28,6 close to fractional boundary (integer),0.9,-1,-3,0,1/2,-1,-3,-3,0,-1,5/2,1,1,59/2,12.8245553203367586639977870889,29.649830510206932823217669493803999,HP (40 digits),,,16.675444679663241336,0.14983051020693282322,1.30027468892,0.00505333445853,0.991094914733,0.2907359705 0.2907359705 0.4185280588,0.8856417117 0.8856417117 1.2749227612,0.00076839261403170970156,0.0007683822774593452,-0.1563112504020303,False,0.416757142587905,0.8583742189 0.8583742189 1.3572088082,0.425788810737596,-3/2 0 0,-27,-27,0,0.434730688824975,False,True
W29,6 close to fractional boundary (integer),0.9,-1,-3,0,1/2,-1,3,3,0,-1,5/2,1,1,59/2,12.8245553203367586639977870889,29.649830510206932823217669493803999,HP (40 digits),,,16.675444679663241336,0.14983051020693282322,1.30027468892,0.00505333445853,0.991094914733,0.2907359705 0.2907359705 0.4185280588,0.8856417117 0.8856417117 1.2749227612,0.00076839261403170970156,0.0007683822774593452,-0.1563112504020303,False,0.416757142587905,0.8583742189 0.8583742189 1.3572088082,0.425788810737596,-3/2 0 0,-27,-27,0,0.434730688824975,False,True
W30,6 close to fractional boundary (decimal-tuned); 2 generic nonsymmetric strict-P,0.7,-1,-1628,0,0,-1,-2,-3/2,0,-1,1,1,1,4885,9.0,4935.488727323178038696479026514598,CERTIFIED (interval) + HP,4935.488727323178038696479026514598,4935.488727323178038696479026514598,4876.0,50.488727323178038696,541.777777778,0.0102297320717,0.989751579651,0.3333333333 0.3333333333 0.3333333333,1.0 1.0 1.0,0.00018492614111940688609,0.00018492614111842443,-0.47105397189735054,False,7.48324264858379,1.0 1.0 1.0,7.48324264858379,0 0 0,-4884,-4884,0,0.00184237461617195,False,True
W31,5 close to Cain boundary (decimal-tuned); 2 generic nonsymmetric strict-P,0.7,-1,-1909/100,0,0,-1,-2,-3/2,0,-1,1,1,1,5827/100,9.0,4935.488727323178038696479026514598,HP (40 digits),,,49.27,4877.2187273231780387,5.47444444444,0.988193671748,0.0100010378034,0.3333333333 0.3333333333 0.3333333333,1.0 1.0 1.0,0.20028673858679752308,0.20028673858679635,-0.2709521594516726,False,0.927284071289367,1.0 1.0 1.0,0.927284071289367,0 0 0,-5727/100,-5727/100,0,0.154453406555689,True,True
W32,6 close to fractional boundary (decimal-tuned); 2 generic nonsymmetric strict-P,0.7,-1,-1628,0,0,-1,-3/2,-2,0,-1,1,1,1,4885,9.0,4935.488727323178038696479026514598,HP (40 digits),,,4876.0,50.488727323178038696,541.777777778,0.0102297320717,0.989751579651,0.3333333333 0.3333333333 0.3333333333,1.0 1.0 1.0,0.00018492614111940688609,0.00018492614111842443,-0.47105397189735054,False,7.48324264858379,1.0 1.0 1.0,7.48324264858379,0 0 0,-4884,-4884,0,0.00184237461617195,False,True
W33,5 close to Cain boundary (decimal-tuned); 2 generic nonsymmetric strict-P,0.7,-1,-1909/100,0,0,-1,-3/2,-2,0,-1,1,1,1,5827/100,9.0,4935.488727323178038696479026514598,HP (40 digits),,,49.27,4877.2187273231780387,5.47444444444,0.988193671748,0.0100010378034,0.3333333333 0.3333333333 0.3333333333,1.0 1.0 1.0,0.20028673858679752308,0.20028673858679658,-0.2709521594516724,False,0.927284071289367,1.0 1.0 1.0,0.927284071289367,0 0 0,-5727/100,-5727/100,0,0.154453406555689,True,True
W34,8 close to alpha=1 (integer),0.99,-1,-1/2,-3,2,-1,-1/2,0,2,-1,2,1,2,15,14.6568542494923801952067548968,15.678985953803934703980283438551043,HP (40 digits),,,0.34314575050761980479,0.67898595380393470398,0.0234119644411,0.0433054762473,0.335715787956,0.3688258717 0.2623482564 0.3688258717,1.1202485706 0.7968401400 1.1202485706,0.010250280501429711323,0.010249595310618753,-0.005458367957330124,False,9.32138536571418e-52,1.1224620483 0.7937005259 1.1224620483,0.0120790632207363,-1 0 -1,-12,0,-12,0.977123616632825,True,True
W35,8 close to alpha=1 (integer),0.99,-1,-1/2,3,2,-1,1/2,0,-2,-1,2,1,2,15,14.6568542494923801952067548968,15.678985953803934703980283438551043,HP (40 digits),,,0.34314575050761980479,0.67898595380393470398,0.0234119644411,0.0433054762473,0.335715787956,0.3688258717 0.2623482564 0.3688258717,1.1202485706 0.7968401400 1.1202485706,0.010250280501429711323,0.010249595310618753,-0.005458367957330124,False,9.32138536571418e-52,1.1224620483 0.7937005259 1.1224620483,0.0120790632207363,-1 0 -1,-12,0,-12,0.977123616632825,True,True
