id,alpha,boundary,norm,g0,local_first_order,directional_scan,slsqp,de,best_upper_bound_hp,hp_residual,exact_or_lower_bound,label,m_frac,m_Cain
W03,0.95,frac,max,3.156220438733939,0.0524230641360279,0.07942732837843113,0.046565561302880566,0.10970490819631933,0.046565561302880583305988417935,-9.49e-41,,HP upper bound (40 digits) - no rigorous lower bound,3.1562204387339389052,1.261
W03,0.95,cain,frob,1.2610000000000028,0.06568397362142497,0.08468779327949809,0.07071067811860207,0.07497671928007262,0.0707106781186562140752925372991,0.0,,HP upper bound (40 digits) - no rigorous lower bound,3.1562204387339389052,1.261
W03,0.95,cain,max,1.2610000000000028,0.023520414825961816,0.04386114167617247,0.02500000000000005,0.05742421276326162,0.0250000000000004305583667374443,-5.5101e-40,,HP upper bound (40 digits) - no rigorous lower bound,3.1562204387339389052,1.261
W03,0.95,P,frob,1.0,0.49644453674278494,0.42450297458018804,0.40000000000000013,0.4002253861031435,0.400000000000000482096909027608,1.1479e-41,0.39999999999999998775,HP; see exact Eckart-Young values,3.1562204387339389052,1.261
W03,0.95,P,max,1.0,0.21505376343852714,0.2631866002152684,0.24390243902439027,0.24524419129624617,0.243902439024390281420364739832,6.2448e-39,0.13333333333333332925,HP; see exact Eckart-Young values,3.1562204387339389052,1.261
W04,0.9,frac,frob,0.13809272720441967,0.0030874279383957446,0.003423500029945558,0.0030780066087603987,0.0031481221664402025,0.00307800660876011315395273902519,8.7175e-40,,HP upper bound (40 digits) - no rigorous lower bound,0.13809272720440524382,12.796875
W04,0.9,frac,max,0.13809272720441967,0.0011046797266641263,0.0017839946534363314,0.0011018047171898959,0.0018286062612965065,0.00110180471718981370612340439672,-4.7672e-40,,HP upper bound (40 digits) - no rigorous lower bound,0.13809272720440524382,12.796875
W04,0.9,cain,frob,12.796874999999996,0.32401261398275066,0.6218656613898352,0.53033008588991,0.6217083166128977,0.530330085889910871066216794238,1.8367e-40,,HP upper bound (40 digits) - no rigorous lower bound,0.13809272720440524382,12.796875
W04,0.9,cain,max,12.796874999999996,0.12598061838195024,0.2814065429910113,0.18750000000000017,0.293168101134554,0.187500000000000364291929955129,-3.6734e-40,,HP upper bound (40 digits) - no rigorous lower bound,0.13809272720440524382,12.796875
W04,0.9,P,frob,1.0,0.3946108989257624,0.3502113273112477,0.32518381359192894,0.3321211254816563,0.325183813591930919938832889011,0.0,0.32518381359193041813,HP; see exact Eckart-Young values,0.13809272720440524382,12.796875
W04,0.9,P,max,1.0,0.1777777777739815,0.21969417307298317,0.21052631578947373,0.25509581118409064,0.210526315789473728309482241009,2.7551e-39,0.10839460453064347271,HP; see exact Eckart-Young values,0.13809272720440524382,12.796875
W05,0.9,frac,frob,12.814366727204417,0.5562483923455089,0.4166499192810843,0.3781165293881514,0.4585527188144502,0.378116529388151584149791737341,7.3917e-40,,HP upper bound (40 digits) - no rigorous lower bound,12.814366727204405244,0.120601
W05,0.9,frac,max,12.814366727204417,0.1951431368240788,0.20477709534996505,0.1353507736296554,0.2749166913653822,0.135350773629655367525759150472,4.8191e-40,,HP upper bound (40 digits) - no rigorous lower bound,12.814366727204405244,0.120601
W05,0.9,cain,frob,0.12060099999999885,0.0070183209803767145,0.007909121437053248,0.007071067811879855,0.008050030833865686,0.00707106781187940795573290373744,0.0,,HP upper bound (40 digits) - no rigorous lower bound,12.814366727204405244,0.120601
W05,0.9,cain,max,0.12060099999999885,0.002484461787686395,0.004474861807244008,0.0025000000000001184,0.004313832377281415,0.00250000000000012538581284360016,1.8367e-40,,HP upper bound (40 digits) - no rigorous lower bound,12.814366727204405244,0.120601
W05,0.9,P,frob,1.0,0.5143393973232986,0.44681436919816725,0.4127535046685638,0.5876865838891229,0.412753504668565873717777744446,1.1479e-41,0.41275350466856546861,HP; see exact Eckart-Young values,12.814366727204405244,0.120601
W05,0.9,P,max,1.0,0.22148394241229918,0.2791664185521757,0.2493765586034913,0.2723307629190587,0.249376558603491353010354633545,1.0446e-39,0.13758450155618848954,HP; see exact Eckart-Young values,12.814366727204405244,0.120601
W06,0.67,frac,frob,1190799.4512397102,0.12939883432032723,0.2608085317712394,,0.22483657845990027,0.224836578459880247588337923862,-5.1975e-35,,HP upper bound (40 digits) - no rigorous lower bound,1190799.451239524985,3374992.0
W06,0.67,frac,max,1190799.4512397102,0.05291810206100692,0.14799452918248787,,0.12815690305483493,0.128156903054794009888079777599,4.7693e-35,,HP upper bound (40 digits) - no rigorous lower bound,1190799.451239524985,3374992.0
W06,0.67,cain,frob,3374991.999999995,0.5773360690659756,114.49889609786172,104.65180361618143,125.14576115962235,104.65180361618148503171711155,7.3468e-40,,HP upper bound (40 digits) - no rigorous lower bound,1190799.451239524985,3374992.0
W06,0.67,cain,max,3374991.999999995,0.3310958072323828,68.27111330319633,36.999999999999986,37.00000000000081,37.0,0.0,,HP upper bound (40 digits) - no rigorous lower bound,1190799.451239524985,3374992.0
W06,0.67,P,frob,1.0,0.007697832528151435,0.006666666666665575,0.006666370396728722,0.006666513430142372,0.00666637039672872348035774022078,1.1479e-41,0.006666370396704892911,HP; see exact Eckart-Young values,1190799.451239524985,3374992.0
W06,0.67,P,max,1.0,0.004415011037527236,0.006597816422437028,0.0065789473684210575,0.006579729316429835,0.00657894736842105665133554694415,-1.1479e-40,0.002222123465568297637,HP; see exact Eckart-Young values,1190799.451239524985,3374992.0
W07,0.68,frac,frob,9263.519666336695,0.05710428152107814,0.07012233595182239,0.05460262259795138,0.05971940251322394,0.0546026225979592563967297800043,-1.1198e-38,,HP upper bound (40 digits) - no rigorous lower bound,9263.5196663380532188,63992.0
W07,0.68,frac,max,9263.519666336695,0.023050152310807145,0.04978664962556006,0.02202989295234424,0.05047955561250778,0.02202989295234733862320777712,-3.9899e-37,,HP upper bound (40 digits) - no rigorous lower bound,9263.5196663380532188,63992.0
W07,0.68,cain,frob,63991.99999999997,0.5770973349890764,29.661747919524448,26.87005768509032,30.298949210352355,26.8700576850903243893169498174,7.3468e-40,,HP upper bound (40 digits) - no rigorous lower bound,9263.5196663380532188,63992.0
W07,0.68,cain,max,63991.99999999997,0.3247665449694948,12.565786595988758,9.499999999999988,9.499999999997307,9.5,-1.4694e-39,,HP upper bound (40 digits) - no rigorous lower bound,9263.5196663380532188,63992.0
W07,0.68,P,frob,1.0,0.028858496587934292,0.024999999999990904,0.024984394500792043,0.02498948507157366,0.0249843945007920889050405476359,-1.1479e-41,0.024984394500785727697,HP; see exact Eckart-Young values,9263.5196663380532188,63992.0
W07,0.68,P,max,1.0,0.016260162601598745,0.023862785164681162,0.02380952380952391,0.02383239672800399,0.0238095238095239102574872553883,4.1326e-40,0.0083281315002619092324,HP; see exact Eckart-Young values,9263.5196663380532188,63992.0
