alpha,R3,R3^3,s,t_boundary,margin_simplex_inside,margin_direct_eig_inside,margin_simplex_outside,margin_direct_eig_outside
0.9,2.756073309145875,20.934967727204402,1.256098063632264,19.678869663571646,1.2806349358740476e-07,1.2806349447558318e-07,-1.2806332305714818e-07,-1.2806332216896976e-07
0.9,2.756073309145875,20.934967727204402,2.09349677272044,18.84147095448423,1.2261397497326243e-07,1.2261397630553006e-07,-1.2261382820177857e-07,-1.2261382753564476e-07
0.9,2.756073309145875,20.934967727204402,2.930895481808616,18.004072245395918,1.1716446257636903e-07,1.1716446368659206e-07,-1.1716432712916003e-07,-1.1716432624098161e-07
0.9,2.756073309145875,20.934967727204402,3.768294190896792,17.166673536307613,1.1171495040152024e-07,1.1171495151174327e-07,-1.1171482561245227e-07,-1.1171482494631846e-07
0.9,2.756073309145875,20.934967727204402,4.605692899984969,16.329274827219315,1.0626543822667145e-07,1.0626543889280526e-07,-1.0626532409574452e-07,-1.0626532409574452e-07
0.9,2.756073309145875,20.934967727204402,5.443091609073145,15.491876118131,1.0081592694000108e-07,1.0081592760613489e-07,-1.0081582213494755e-07,-1.0081582124676913e-07
0.9,2.756073309145875,20.934967727204402,6.280490318161322,14.654477409042693,9.53664156533307e-08,9.536641676355373e-08,-9.536632017415059e-08,-9.536631950801677e-08
0.9,2.756073309145875,20.934967727204402,7.117889027249497,13.817078699954388,8.991690481074954e-08,8.991690503279415e-08,-8.99168173251752e-08,-8.99168173251752e-08
0.9,2.756073309145875,20.934967727204402,7.955287736337673,12.979679990866972,8.446738797296405e-08,8.446738863909786e-08,-8.446732069344876e-08,-8.446732002731494e-08
0.9,2.756073309145875,20.934967727204402,8.792686445425849,12.142281281778667,7.90178777965167e-08,7.901787890673972e-08,-7.901781762242877e-08,-7.901781695629495e-08
0.9,2.756073309145875,20.934967727204402,9.630085154514026,11.304882572690358,7.356836762006935e-08,7.356836806415856e-08,-7.356831410731957e-08,-7.356831344118575e-08
0.9,2.756073309145875,20.934967727204402,10.467483863602201,10.467483863602055,6.811885810975582e-08,6.811885855384503e-08,-6.811881037016576e-08,-6.811880992607655e-08
0.9,2.756073309145875,20.934967727204402,11.304882572690378,9.630085154513747,6.266934837739768e-08,6.26693492655761e-08,-6.266930663301196e-08,-6.266930574483354e-08
