alpha,b,g=1-b,W_alpha,W_over_T1
0.8,1.67880401812,-0.678804018123,117.046523118,7.74668698365
0.8,1.77827941004,-0.778279410039,121.377866324,7.58397668859
0.8,1.88364908949,-0.88364908949,125.978266927,7.43110024699
0.8,1.99526231497,-0.995262314969,130.866013058,7.28759722896
0.8,2.11348903984,-1.11348903984,136.060766078,7.15303586281
0.8,2.23872113857,-1.23872113857,141.583670872,7.02701141056
0.8,2.37137370566,-1.37137370566,147.45747529,6.90914463712
0.8,2.51188643151,-1.51188643151,153.706659517,6.79908036842
0.8,2.6607250598,-1.6607250598,160.357576223,6.69648613395
0.8,2.81838293126,-1.81838293126,167.438602395,6.60105088936
0.8,2.98538261892,-1.98538261892,174.980303884,6.51248381493
0.8,3.16227766017,-2.16227766017,183.015613721,6.43051318593
0.8,3.34965439158,-2.34965439158,191.580025414,6.35488531115
0.8,3.54813389234,-2.54813389234,200.71180249,6.28536353601
0.8,3.75837404288,-2.75837404288,210.4522057,6.22172730662
0.8,3.98107170553,-2.98107170553,220.845739401,6.16377129177
0.8,4.21696503429,-3.21696503429,231.940418771,6.11130455948
0.8,4.46683592151,-3.46683592151,243.788059655,6.06414980533
0.8,4.73151258961,-3.73151258961,256.444593011,6.0221426295
0.8,5.01187233627,-4.01187233627,269.97040608,5.98513086008
0.8,5.30884444231,-4.30884444231,284.430712589,5.9529739199
0.8,5.6234132519,-4.6234132519,299.895954533,5.92554223445
0.8,5.95662143529,-4.95662143529,316.442238251,5.90271667866
0.8,6.3095734448,-5.3095734448,334.151807801,5.88438806036
0.8,6.68343917569,-5.68343917569,353.113558874,5.8704566382
0.8,7.07945784384,-6.07945784384,373.423596781,5.86083167224
0.8,7.49894209332,-6.49894209332,395.185842353,5.85543100517
0.8,7.94328234724,-6.94328234724,418.512689952,5.85418067265
0.8,8.41395141645,-7.41395141645,443.525722128,5.85701454083
0.8,8.91250938134,-7.91250938134,470.356485896,5.86387396973
0.8,9.44060876286,-8.44060876286,499.147336007,5.87470750086
0.8,10,-9,530.0523511,5.88947056778
0.8,10.5925372518,-9.59253725177,563.238329111,5.90812522821
0.8,11.220184543,-10.220184543,598.885868904,5.93063991662
0.8,11.8850222744,-10.8850222744,637.190545683,5.956989216
0.8,12.5892541179,-11.5892541179,678.364188433,5.98715364776
0.8,13.3352143216,-12.3352143216,722.636268362,6.02111947887
0.8,14.1253754462,-13.1253754462,770.2554081,6.05887854515
0.8,14.9623565609,-13.9623565609,821.491022301,6.10042808991
0.8,15.8489319246,-14.8489319246,876.635101214,6.14577061711
0.8,16.7880401812,-15.7880401812,936.004149832,6.19491375823
0.8,17.7827941004,-16.7827941004,999.941296339,6.24787015217
0.8,18.8364908949,-17.8364908949,1068.8185848,6.3046573375
0.8,19.9526231497,-18.9526231497,1143.03946837,6.36529765643
0.8,21.1348903984,-20.1348903984,1223.04152072,6.42981816992
0.8,22.3872113857,-21.3872113857,1309.29938504,6.49825058343
0.8,23.7137370566,-22.7137370566,1402.32798147,6.57063118273
0.8,25.1188643151,-24.1188643151,1502.68599612,6.64700077938
0.8,26.607250598,-25.607250598,1610.97967626,6.72740466543
0.8,28.1838293126,-27.1838293126,1727.86695915,6.81189257691
0.8,29.8538261892,-28.8538261892,1854.06196379,6.90051866584
0.8,31.6227766017,-30.6227766017,1990.33987797,6.99334148027
