g12,g13,g23,alpha,T1,T_alpha,W_alpha,W_over_T1,L3_cain,L3_frac
0.7,-1.85,-2,0.75,15.7447674039,481.780739305,466.035971901,29.599419283,-11.5947674039,-477.630739305
0.7,-1.8,-2,0.75,15.6269475726,479.761874247,464.134926674,29.7009332449,-11.5269475726,-475.661874247
0.7,-1.75,-2,0.75,15.5085194551,477.737523936,462.229004481,29.8048440935,-11.4585194551,-473.687523936
0.7,-1.7,-2,0.75,15.3894663844,475.707605026,460.318138641,29.9112475471,-11.3894663844,-471.707605026
0.7,-1.65,-2,0.75,15.2697709181,473.672032016,458.402261098,30.0202448064,-11.3197709181,-469.722032016
0.7,-1.6,-2,0.75,15.1494147869,471.630717173,456.481302386,30.13194297,-11.2494147869,-467.730717173
0.7,-1.55,-2,0.75,15.0283788389,469.583570449,454.55519161,30.2464554881,-11.1783788389,-465.733570449
0.7,-1.5,-2,0.75,14.9066429787,467.530499391,452.623856413,30.3639026613,-11.1066429787,-463.730499391
0.7,-1.45,-2,0.75,14.7841861007,465.471409055,450.687222954,30.4844121876,-11.0341861007,-461.721409055
0.7,-1.4,-2,0.75,14.6609860169,463.406201902,448.745215885,30.6081197654,-10.9609860169,-459.706201902
0.7,-1.35,-2,0.75,14.5370193774,461.334777706,446.797758329,30.7351697572,-10.8870193774,-457.684777706
0.7,-1.3,-2,0.75,14.4122615833,459.257033443,444.84477186,30.8657159245,-10.8122615833,-455.657033443
0.7,-1.25,-2,0.75,14.2866866913,457.172863179,442.886176488,30.9999222393,-10.7366866913,-453.622863179
0.7,-1.2,-2,0.75,14.1602673085,455.082157957,440.921890648,31.1379637857,-10.6602673085,-451.582157957
0.7,-1.15,-2,0.75,14.0329744762,452.984805668,438.951831192,31.2800277615,-10.5829744762,-449.534805668
0.7,-1.1,-2,0.75,13.9047775419,450.880690928,436.975913386,31.4263145935,-10.5047775419,-447.480690928
0.7,-1.05,-2,0.75,13.7756440173,448.769694934,434.994050917,31.5770391839,-10.4256440173,-445.419694934
0.7,-1,-2,0.75,13.6455394202,446.651695325,433.006155905,31.7324323042,-10.3455394202,-443.351695325
0.7,-0.95,-2,0.75,13.5144270992,444.526566026,431.012138927,31.892742161,-10.2644270992,-441.276566026
0.7,-0.9,-2,0.75,13.3822680377,442.394177088,429.011909051,32.0582361557,-10.1822680377,-439.194177088
0.7,-0.85,-2,0.75,13.2490206344,440.254394521,427.005373886,32.2292028723,-10.0990206344,-437.104394521
0.7,-0.8,-2,0.75,13.1146404572,438.107080108,424.992439651,32.4059543254,-10.0146404572,-435.007080108
0.7,-0.75,-2,0.75,12.9790799657,435.95209122,422.973011254,32.5888285127,-9.92907996568,-432.90209122
0.7,-0.7,-2,0.75,12.8422881981,433.789280612,420.946992414,32.7781923222,-9.84228819806,-430.789280612
0.7,-0.65,-2,0.75,12.7042104163,431.618496208,418.914285792,32.9744448545,-9.75421041631,-428.668496208
0.7,-0.6,-2,0.75,12.5647877022,429.439580878,416.874793176,33.1780212334,-9.6647877022,-426.539580878
0.7,-0.55,-2,0.75,12.4239564964,427.252372194,414.828415698,33.3893969944,-9.57395649637,-424.402372194
0.7,-0.5,-2,0.75,12.2816480697,425.056702175,412.775054105,33.6090931577,-9.48164806972,-422.256702175
0.7,-0.45,-2,0.75,12.1377879149,422.852397015,410.7146091,33.8376821198,-9.38778791485,-420.102397015
0.7,-0.4,-2,0.75,11.9922950422,420.639276794,408.646981751,34.0757945259,-9.29229504217,-417.939276794
0.7,-0.35,-2,0.75,11.8450811617,418.41715517,406.572074008,34.3241273282,-9.19508116174,-415.76715517
0.7,-0.3,-2,0.75,11.6960497274,416.185839048,404.489789321,34.5834532811,-9.09604972741,-413.585839048
0.7,-0.25,-2,0.75,11.5450948137,413.945128234,402.40003342,34.8546321978,-8.9950948137,-411.395128234
0.7,-0.2,-2,0.75,11.3920997883,411.694815052,400.302715264,35.1386243715,-8.8920997883,-409.194815052
0.7,-0.15,-2,0.75,11.2369357327,409.434683952,398.197748219,35.4365066856,-8.78693573275,-406.984683952
0.7,-0.1,-2,0.75,11.0794595503,407.164511072,396.085051522,35.7494920869,-8.67945955033,-404.764511072
0.7,-0.05,-2,0.75,10.919511682,404.884063786,393.964552104,36.0789533065,-8.56951168199,-402.534063786
0.7,0,-2,0.75,10.7569133262,402.593100205,391.836186878,36.4264519937,-8.45691332625,-400.293100205
0.7,0.05,-2,0.75,10.5914630245,400.291368647,389.699905623,36.7937748279,-8.34146302453,-398.041368647
0.7,0.1,-2,0.75,10.4229324257,397.978607071,387.555674645,37.1829787259,-8.22293242567,-395.778607071
0.7,0.15,-2,0.75,10.2510609745,395.654542456,385.403481481,37.5964480595,-8.10106097447,-393.504542456
0.7,0.2,-2,0.75,10.0755491702,393.318890146,383.243340976,38.036967961,-7.97554917018,-391.218890146
0.7,0.25,-2,0.75,9.89604989415,390.97135313,381.075303236,38.5078195151,-7.84604989415,-388.92135313
0.7,0.3,-2,0.75,9.71215708433,388.611621273,378.899464188,39.0129052587,-7.71215708433,-386.611621273
0.7,0.35,-2,0.75,9.52339069149,386.239370474,376.715979782,39.5569174873,-7.57339069149,-384.289370474
0.7,0.4,-2,0.75,9.32917630652,383.854261765,374.525085458,40.1455683924,-7.42917630652,-381.954261765
0.7,0.45,-2,0.75,9.1288169523,381.455940322,372.32712337,40.7859118345,-7.2788169523,-379.605940322
0.7,0.5,-2,0.75,8.92145300813,379.044034395,370.122581387,41.4868050137,-7.12145300813,-377.244034395
0.7,0.55,-2,0.75,8.70600352666,376.618154139,367.912150613,42.2595912678,-6.95600352666,-374.868154139
0.7,0.6,-2,0.75,8.48107714915,374.177890343,365.696813194,43.1191471039,-6.78107714915,-372.477890343
