triple,regime,alpha,W_alpha,C_beta*(1-alpha),27/K^3+(9S-27)/K^2
all_antagonistic_333,alpha->1,0.999999349032,0.000110434377348,0.000110434038551,81.0000000008
all_antagonistic_333,alpha->1,0.999999177276,0.000139572402297,0.000139571861172,81.0000000013
all_antagonistic_333,alpha->1,0.999998960202,0.000176398510273,0.000176397645926,81.000000002
all_antagonistic_333,alpha->1,0.999998685853,0.000222941228422,0.000222939847804,81.0000000032
all_antagonistic_333,alpha->1,0.999998339117,0.000281764331326,0.000281762126014,81.0000000051
all_antagonistic_333,alpha->1,0.999997900896,0.000356108079163,0.000356104556608,81.0000000082
all_antagonistic_333,alpha->1,0.999997347052,0.000450067730579,0.000450062103941,81.0000000131
all_antagonistic_333,alpha->1,0.999996647076,0.00056881916877,0.000568810181262,81.000000021
all_antagonistic_333,alpha->1,0.999995762413,0.000718904081296,0.000718889725408,81.0000000335
all_antagonistic_333,alpha->1,0.999994644333,0.000908590418533,0.000908567487566,81.0000000535
all_antagonistic_333,alpha->1,0.99999323125,0.00114832801452,0.00114829138641,81.0000000855
all_antagonistic_333,alpha->1,0.999991445327,0.00145132451213,0.00145126600515,81.0000001365
all_antagonistic_333,alpha->1,0.999989188192,0.00183427338745,0.00183417993258,81.0000002181
all_antagonistic_333,alpha->1,0.999986335517,0.00231827429011,0.00231812501165,81.0000003483
all_antagonistic_333,alpha->1,0.999982730167,0.00292999657822,0.00292975813016,81.0000005563
all_antagonistic_333,alpha->1,0.999978173553,0.00370315043141,0.00370276954783,81.0000008886
all_antagonistic_333,alpha->1,0.999972414684,0.0046803470442,0.00467973863891,81.0000014194
all_antagonistic_333,alpha->1,0.999965136348,0.00591545111308,0.00591447926898,81.0000022673
all_antagonistic_333,alpha->1,0.999955937636,0.00747655639623,0.0074750039954,81.0000036216
all_antagonistic_333,alpha->1,0.99994431186,0.00944975016119,0.0094472703665,81.0000057848
all_antagonistic_333,alpha->1,0.999929618644,0.0119438769359,0.0119399156753,81.0000092401
all_antagonistic_333,alpha->1,0.99991104865,0.0150965688524,0.0150902409695,81.0000147593
all_antagonistic_333,alpha->1,0.999887578996,0.0190818825717,0.0190717739311,81.0000235753
all_antagonistic_333,alpha->1,0.999857916917,0.0241199759563,0.0241038272096,81.0000376571
all_antagonistic_333,alpha->1,0.999820428551,0.0304893775161,0.0304635787027,81.0000601501
all_antagonistic_333,alpha->1,0.999773048946,0.038542556486,0.0385013391983,81.0000960785
all_antagonistic_333,alpha->1,0.999713168319,0.0487257024559,0.0486598483564,81.0001534675
all_antagonistic_333,alpha->1,0.999637488295,0.0616038862433,0.0614986619003,81.0002451357
all_antagonistic_333,alpha->1,0.999541840233,0.0778931197233,0.0777249733255,81.0003915587
all_antagonistic_333,alpha->1,0.999420955602,0.0985012921318,0.0982325678606,81.0006254428
all_antagonistic_333,alpha->1,0.999268175778,0.124580577844,0.12415105436,81.0009990307
all_antagonistic_333,alpha->1,0.999075085272,0.157594750068,0.156908086946,81.0015957723
all_antagonistic_333,alpha->1,0.998831048184,0.199405992041,0.198308003712,81.0025489676
all_antagonistic_333,alpha->1,0.998522622347,0.252387417353,0.250631214119,81.0040715508
all_antagonistic_333,alpha->1,0.998132818909,0.319569818394,0.316759809564,81.0065036746
all_antagonistic_333,alpha->1,0.997640166533,0.404834509663,0.400336316079,81.0103887476
all_antagonistic_333,alpha->1,0.997017528714,0.513169087722,0.505964333645,81.0165949626
all_antagonistic_333,alpha->1,0.996230609025,0.651010420105,0.639462113827,81.0265096051
all_antagonistic_333,alpha->1,0.99523606199,0.826710755312,0.808183043404,81.042349904
all_antagonistic_333,alpha->1,0.993979105507,1.05118117713,1.02142068705,81.0676607894
all_antagonistic_333,alpha->1,0.992390503315,1.33879638914,1.29092069977,81.1081131066
all_antagonistic_333,alpha->1,0.990382751289,1.7086944766,1.63152780653,81.1727866476
all_antagonistic_333,alpha->1,0.987845257499,2.18669067205,2.06200348632,81.2762401253
all_antagonistic_333,alpha->1,0.984638250533,2.80817589079,2.60605940063,81.4418703631
all_antagonistic_333,alpha->1,0.980585080543,3.62265075662,3.29366349023,81.7074139319
all_antagonistic_333,alpha->1,0.975462488934,4.701084863,4.16269068319,82.1340870686
all_antagonistic_333,alpha->1,0.968988310734,6.1483813575,5.26100913932,82.8221047958
all_antagonistic_333,alpha->1,0.960805932252,8.12556375411,6.64911694636,83.9379065936
all_antagonistic_333,alpha->1,0.95046464791,10.8916664376,8.40347450375,85.7642438745
all_antagonistic_333,alpha->1,0.93739483428,14.8886932015,10.62071615,88.7986897128
all_antagonistic_333,alpha->1,0.92087657381,20.9300092472,13.42297302,93.9657621857
all_antagonistic_333,alpha->1,0.9,30.6691387948,16.9646003294,103.132112786
all_antagonistic_333,alpha->2/3,0.666666766667,1.67584117265e+20,56.5486508,1.67584117265e+20
all_antagonistic_333,alpha->2/3,0.666666793051,8.30134122207e+19,56.5486463239,8.30134122208e+19
all_antagonistic_333,alpha->2/3,0.666666826398,4.11210045547e+19,56.5486406669,4.11210045548e+19
all_antagonistic_333,alpha->2/3,0.666666868543,2.03694460977e+19,56.5486335172,2.03694460977e+19
all_antagonistic_333,alpha->2/3,0.666666921807,1.00900841518e+19,56.548624481,1.00900841519e+19
all_antagonistic_333,alpha->2/3,0.666666989126,4.99816329156e+18,56.5486130607,4.99816329158e+18
all_antagonistic_333,alpha->2/3,0.666667074206,2.47586065044e+18,56.5485986272,2.47586065045e+18
all_antagonistic_333,alpha->2/3,0.666667181734,1.22642808365e+18,56.5485803854,1.22642808366e+18
all_antagonistic_333,alpha->2/3,0.666667317634,6.07516592454e+17,56.5485573306,6.07516592462e+17
all_antagonistic_333,alpha->2/3,0.666667489391,3.00936186275e+17,56.5485281928,3.00936186281e+17
all_antagonistic_333,alpha->2/3,0.666667706465,1.49070239558e+17,56.548491367,1.49070239562e+17
all_antagonistic_333,alpha->2/3,0.666667980814,7.38427436204e+16,56.5484448248,7.38427436242e+16
all_antagonistic_333,alpha->2/3,0.666668327549,3.65784355695e+16,56.5483860025,3.65784355725e+16
all_antagonistic_333,alpha->2/3,0.66666876577,1.81193648643e+16,56.5483116601,1.81193648667e+16
all_antagonistic_333,alpha->2/3,0.666669319615,8.97555880162e+15,56.5482177025,8.97555880349e+15
all_antagonistic_333,alpha->2/3,0.666670019591,4.44611698909e+15,56.5480989544,4.44611699057e+15
all_antagonistic_333,alpha->2/3,0.666670904254,2.20242620844e+15,56.5479488749,2.20242620961e+15
all_antagonistic_333,alpha->2/3,0.666672022334,1.09099616942e+15,56.5477591971,1.09099617035e+15
all_antagonistic_333,alpha->2/3,0.666673435417,5.40439181657e+14,56.5475194732,5.4043918239e+14
all_antagonistic_333,alpha->2/3,0.666675221339,2.67714954789e+14,56.5472164986,2.67714955369e+14
all_antagonistic_333,alpha->2/3,0.666677478474,1.32617616863e+14,56.5468335847,1.32617617322e+14
all_antagonistic_333,alpha->2/3,0.66668033115,6.56951523609e+13,56.5463496396,6.5695152724e+13
all_antagonistic_333,alpha->2/3,0.6666839365,3.25439207814e+13,56.5457380065,3.25439210688e+13
all_antagonistic_333,alpha->2/3,0.666688493114,1.61217447667e+13,56.5449649951,1.61217449941e+13
all_antagonistic_333,alpha->2/3,0.666694251983,7.98658847369e+12,56.543988026,7.9865886536e+12
all_antagonistic_333,alpha->2/3,0.666701530319,3.95657627853e+12,56.5427532853,3.95657642089e+12
all_antagonistic_333,alpha->2/3,0.666710729031,1.96014912585e+12,56.5411927606,1.96014923849e+12
all_antagonistic_333,alpha->2/3,0.666722354807,971120238515,56.5392204942,971120327649
all_antagonistic_333,alpha->2/3,0.666737048022,481143907973,56.5367278489,481143978505
all_antagonistic_333,alpha->2/3,0.666755618016,238396479040,56.5335775236,238396534854
all_antagonistic_333,alpha->2/3,0.66677908767,118128192371,56.5295959907,118128236540
all_antagonistic_333,alpha->2/3,0.66680874975,58538791300.8,56.5245639374,58538826255.2
all_antagonistic_333,alpha->2/3,0.666846238116,29012155727.7,56.5182041859,29012183391.4
all_antagonistic_333,alpha->2/3,0.66689361772,14380513599.4,56.5101664254,14380535494.5
all_antagonistic_333,alpha->2/3,0.666953498348,7129222827.25,56.5000079163,7129240158
all_antagonistic_333,alpha->2/3,0.667029178372,3535107198.78,56.4871691027,3535120918.06
all_antagonistic_333,alpha->2/3,0.667124826434,1753395084.35,56.4709427913,1753405946.12
all_antagonistic_333,alpha->2/3,0.667245711065,869969863.885,56.4504351968,869978464.698
all_antagonistic_333,alpha->2/3,0.667398490889,431831271.729,56.4245167103,431838083.607
all_antagonistic_333,alpha->2/3,0.667591581394,214465470.02,56.3917596777,214470866.441
all_antagonistic_333,alpha->2/3,0.667835618483,106584513.185,56.3503597609,106588789.663
all_antagonistic_333,alpha->2/3,0.668144044319,53015056.5563,56.2980365505,53018446.9145
all_antagonistic_333,alpha->2/3,0.668533847758,26397697.601,56.2319079551,26400386.8529
all_antagonistic_333,alpha->2/3,0.669026500133,13161646.854,56.1483314485,13163781.3942
all_antagonistic_333,alpha->2/3,0.669649137953,6573163.6361,56.042703431,6574859.30371
all_antagonistic_333,alpha->2/3,0.670436057642,3289527.34051,55.9092056508,3290875.79973
all_antagonistic_333,alpha->2/3,0.671430604677,1650440.50435,55.7404847212,1651514.29296
all_antagonistic_333,alpha->2/3,0.67268756116,830671.081986,55.5272470776,831527.606348
all_antagonistic_333,alpha->2/3,0.674276163352,419685.873339,55.2577470649,420370.569446
all_antagonistic_333,alpha->2/3,0.676283915378,213029.218718,54.9171399581,213578.053576
all_antagonistic_333,alpha->2/3,0.678821409167,108736.762191,54.4866642783,109178.213035
all_antagonistic_333,alpha->2/3,0.682028416133,55870.3004885,53.942608364,56226.9207836
all_antagonistic_333,alpha->2/3,0.686081586124,28928.3381022,53.2550042744,29217.9965136
all_antagonistic_333,alpha->2/3,0.691204177733,15110.1642165,52.3859770814,15347.0248293
all_antagonistic_333,alpha->2/3,0.697678355932,7969.44189293,51.2876586253,8164.73993851
all_antagonistic_333,alpha->2/3,0.705860734415,4246.93501523,49.8995508183,4409.59144018
all_antagonistic_333,alpha->2/3,0.716202018756,2286.84090568,48.1451932609,2423.95075274
all_antagonistic_333,alpha->2/3,0.729271832387,1243.08201246,45.9279516146,1360.30536778
all_antagonistic_333,alpha->2/3,0.745790092856,680.358756248,43.1256947446,782.238819142
all_antagonistic_333,alpha->2/3,0.766666666667,372.909858349,39.5840674352,463.140920484
antagonistic_mixed_1.5_4_2,alpha->1,0.9999999,1.36657840635e-05,1.36657773282e-05,67.5
antagonistic_mixed_1.5_4_2,alpha->1,0.999999873615,1.72714788818e-05,1.72714681246e-05,67.5
antagonistic_mixed_1.5_4_2,alpha->1,0.999999840269,2.18285311178e-05,2.18285139565e-05,67.5
antagonistic_mixed_1.5_4_2,alpha->1,0.999999798124,2.75879555467e-05,2.75879281317e-05,67.5000000001
antagonistic_mixed_1.5_4_2,alpha->1,0.999999744859,3.48669972006e-05,3.48669534012e-05,67.5000000001
antagonistic_mixed_1.5_4_2,alpha->1,0.999999677541,4.40666063426e-05,4.40665363951e-05,67.5000000002
antagonistic_mixed_1.5_4_2,alpha->1,0.999999592461,5.56935245619e-05,5.56934128182e-05,67.5000000003
antagonistic_mixed_1.5_4_2,alpha->1,0.999999484932,7.03881982176e-05,7.03880197165e-05,67.5000000004
antagonistic_mixed_1.5_4_2,alpha->1,0.999999349032,8.89600573153e-05,8.89597722183e-05,67.5000000007
antagonistic_mixed_1.5_4_2,alpha->1,0.999999177276,0.000112432103613,0.000112431648258,67.5000000011
antagonistic_mixed_1.5_4_2,alpha->1,0.999998960202,0.000142097263982,0.000142096536606,67.5000000017
