triple,beta12,beta13,beta23,alpha,L3_at_kappa0,L3_cain_boundary,L3_fractional_boundary,band_width_in_L3,realizability_2sqrtG_if_G>0,evidence
"no_pair_loops_(1,1,1)",1,1,1,0.666668853884545,1,-8,-1.60161713696802e+16,1.60161713696802e+16,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666668984339748,1,-8,-1.34610355892234e+16,1.34610355892234e+16,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666669122575868,1,-8,-1.13135329801541e+16,1.13135329801541e+16,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666669269056992,1,-8,-9.50863182057406e+15,9.50863182057405e+15,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666669424274889,1,-8,-7.99167522874875e+15,7.99167522874874e+15,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666669588750657,1,-8,-6.71672599896191e+15,6.7167259989619e+15,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666669763036477,1,-8,-5.64517551840691e+15,5.6451755184069e+15,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666669947717462,1,-8,-4.74457459527226e+15,4.74457459527225e+15,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666670143413626,1,-8,-3.98765081532894e+15,3.98765081532893e+15,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666670350781961,1,-8,-3.35148266986077e+15,3.35148266986076e+15,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666670570518648,1,-8,-2.81680542888642e+15,2.81680542888641e+15,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666670803361388,1,-8,-2.36742775910837e+15,2.36742775910836e+15,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666671050091883,1,-8,-1.9897414101353e+15,1.9897414101353e+15,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.66667131153846,1,-8,-1.67230912226323e+15,1.67230912226322e+15,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666671588578849,1,-8,-1.4055182772651e+15,1.40551827726509e+15,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666671882143135,1,-8,-1.18128980471499e+15,1.18128980471498e+15,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666672193216873,1,-8,-992833527593509,992833527593501,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666672522844405,1,-8,-834442538441124,834442538441116,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666672872132358,1,-8,-701320380314568,701320380314560,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666673242253367,1,-8,-589435798257359,589435798257351,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666673634450005,1,-8,-495400662639263,495400662639255,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.66667405003896,1,-8,-416367368371229,416367368371221,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.66667449041545,1,-8,-349942602461330,349942602461322,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666674957057912,1,-8,-294114868449598,294114868449590,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666675451532965,1,-8,-247193573380673,247193573380665,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666675975500663,1,-8,-207757832687849,207757832687841,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666676530720078,1,-8,-174613442097403,174613442097395,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666677119055197,1,-8,-146756714362467,146756714362459,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666677742481186,1,-8,-123344085126676,123344085126668,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666678403091018,1,-8,-103666567766202,103666567766194,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666679103102497,1,-8,-87128283559455.9,87128283559447.9,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666679844865711,1,-8,-73228417050738.2,73228417050730.2,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666680630870915,1,-8,-61546050143494.1,61546050143486.1,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666681463756893,1,-8,-51727415722214.2,51727415722206.2,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666682346319819,1,-8,-43475184722872,43475184722864,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666683281522644,1,-8,-36539462313458.6,36539462313450.6,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666684272505039,1,-8,-30710220491781.9,30710220491773.9,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666685322593942,1,-8,-25810937944245,25810937944237,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666686435314721,1,-8,-21693254571822.3,21693254571814.3,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666687614403016,1,-8,-18232478799805.8,18232478799797.8,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666688863817274,1,-8,-15323811634002.3,15323811633994.3,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666690187752041,1,-8,-12879173105246.2,12879173105238.2,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666691590652045,1,-8,-10824535009094.6,10824535009086.6,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666693077227118,1,-8,-9097679165857.24,9097679165849.24,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666694652468004,1,-8,-7646313315030.78,7646313315022.78,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.66669632166312,1,-8,-6426487589632.52,6426487589624.52,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666698090416304,1,-8,-5401263618613.65,5401263618605.65,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666699964665634,1,-8,-4539595952411.55,4539595952403.55,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.66670195070336,1,-8,-3815391940213.37,3815391940205.37,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666704055197027,1,-8,-3206721589460.59,3206721589452.59,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666706285211866,1,-8,-2695153479566.52,2695153479558.52,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666708648234505,1,-8,-2265196620202.85,2265196620194.85,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666711152198109,1,-8,-1903831352873.47,1903831352865.47,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666713805509012,1,-8,-1600115089494.74,1600115089486.74,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666716617074936,1,-8,-1344850949064.63,1344850949056.63,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.6667195963349,1,-8,-1130309258373.57,1130309258365.57,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666722753290909,1,-8,-949993482879.637,949993482871.637,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666726098541527,1,-8,-798443499453.866,798443499445.866,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666729643317467,1,-8,-671070253917.34,671070253909.34,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666733399519287,1,-8,-564016796373.691,564016796365.691,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666737379757347,1,-8,-474041486068.814,474041486060.814,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666741597394146,1,-8,-398419829064.642,398419829056.642,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666746066589179,1,-8,-334861976124.304,334861976116.304,0,FLOAT
