family,beta12,beta13,beta23,alpha,T1,T_alpha_L,T_alpha_U,T_alpha_mid,ratio_mid,W_mid,W_over_T1_mid,x1_hat,x2_hat,x3_hat,x_enclosure_radius,evidence
atlas_A,100.0,100.0,100.0,0.6666666766666667,900.0,167584796112275403468106.895492395379548168307,167584796112275403468106.895492395379548168517,167584796112275403468106.895492395379548168412,1.8620532901363935e+20,1.675847961122754e+23,1.8620532901363935e+20,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,1.54578e-50,CERTIFIED
atlas_A,100.0,100.0,100.0,0.6666667666666667,900.0,167592962093072027031.258096841068698108457554,167592962093072027031.258096841068698108457575,167592962093072027031.258096841068698108457565,1.862144023256356e+17,1.6759296209307202e+20,1.862144023256356e+17,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,1.54584e-50,CERTIFIED
atlas_A,100.0,100.0,100.0,0.6666676666666667,900.0,167674621901997444.76970765706884332461998883,167674621901997444.769707657068843324619988833,167674621901997444.769707657068843324619988831,186305135446663.8,1.6767462190199654e+17,186305135446662.8,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,1.54642e-50,CERTIFIED
atlas_A,100.0,100.0,100.0,0.6666766666666667,900.0,168491220945715.288271061861702340188602218118,168491220945715.288271061861702340190418619501,168491220945715.288271061861702340189510420425,187212467717.46143,168491220944815.28,187212467716.46143,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,1.33338e-40,CERTIFIED
atlas_A,100.0,100.0,100.0,0.6667666666666666,900.0,176658121059.004580072024899822780089139198351,176658121059.004580072024899822780089332715398,176658121059.004580072024899822780089235956874,196286801.17667174,176658120159.00458,196286800.17667174,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,1.38579e-40,CERTIFIED
atlas_A,100.0,100.0,100.0,0.6676666666666666,900.0,258943337.210860627880377760891736444268259594,258943337.210860627880377760891736444310740986,258943337.21086062788037776089173644428950029,287714.8191231785,258942437.21086064,287713.8191231785,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,2.15561e-40,CERTIFIED
atlas_A,100.0,100.0,100.0,0.6766666666666666,900.0,1206166.51890174639398678798210219862418475904,1206166.51890174639398678798210219862420317575,1206166.51890174639398678798210219862419395536,1340.1850210019406,1205266.5189017465,1339.1850210019406,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,2.50394e-40,CERTIFIED
atlas_A,100.0,100.0,100.0,0.7,900.0,119691.363271047568808631629925666219990549886,119691.363271047568808631629925666219991412041,119691.363271047568808631629925666219990981716,132.99040363449728,118791.36327104756,131.99040363449728,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,9.01241e-40,CERTIFIED
atlas_A,100.0,100.0,100.0,0.75,900.0,22976.4994375260564374782389174475993902468326,22976.4994375260564374782389174475993903028801,22976.4994375260564374782389174475993902750444,25.529443819473396,22076.499437526058,24.529443819473396,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,7.48075e-39,CERTIFIED
atlas_A,100.0,100.0,100.0,0.7666666666666667,900.0,16549.7725387393904055813492366018718670434583,16549.7725387393904055813492366018718670893496,16549.7725387393904055813492366018718670664039,18.38863615415488,15649.772538739391,17.38863615415488,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,9.54774e-38,CERTIFIED
atlas_A,100.0,100.0,100.0,0.8,900.0,9774.56276314076679519773936315599621628478336,9774.56276314076679519773936315599621630377935,9774.56276314076679519773936315599621629418731,10.860625292378629,8874.562763140766,9.860625292378629,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,2.55385e-40,CERTIFIED
atlas_A,100.0,100.0,100.0,0.85,900.0,5284.76158654492319141672596799620058027264991,5284.76158654492319141672596799620058028130155,5284.76158654492319141672596799620058027697573,5.871957318383248,4384.761586544923,4.871957318383248,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,2.54854e-40,CERTIFIED
atlas_A,100.0,100.0,100.0,0.9,900.0,3123.10821423922611321674424257445045270993366,3123.10821423922611321674424257445045271435352,3123.10821423922611321674424257445045271214359,3.4701202380435845,2223.108214239226,2.4701202380435845,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,6.42468e-39,CERTIFIED
atlas_A,100.0,100.0,100.0,0.9,900.0,3123.10821423922611321674424257445045270993366,3123.10821423922611321674424257445045271435352,3123.10821423922611321674424257445045271214359,3.4701202380435845,2223.108214239226,2.4701202380435845,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,6.42468e-39,CERTIFIED
atlas_A,100.0,100.0,100.0,0.95,900.0,1830.57742932241796497056869428933138271284557,1830.5774293224179649705686942893313827150555,1830.57742932241796497056869428933138271395053,2.033974921469353,930.5774293224179,1.0339749214693532,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,1.14269e-39,CERTIFIED
atlas_A,100.0,100.0,100.0,0.99,900.0,1070.62430367494497365011880511970732078090304,1070.624303674944973650118805119707320782008,1070.62430367494497365011880511970732078144376,1.1895825596388276,170.62430367494494,0.18958255963882772,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,4.18667e-40,CERTIFIED
atlas_A,100.0,100.0,100.0,0.999,900.0,916.836507756516895252447429897912694410972421,916.8365077565168952524474298979126944122302,916.836507756516895252447429897912694411607188,1.0187072308405742,16.83650775651688,0.01870723084057431,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,2.64074e-40,CERTIFIED
atlas_A,100.0,100.0,100.0,0.9999,900.0,901.681615656635754730906773573294272436136203,901.681615656635754730906773573294272437370472,901.681615656635754730906773573294272436759215,1.0018684618407063,1.6816156566356995,0.0018684618407063328,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,2.57673e-40,CERTIFIED
atlas_A,100.0,100.0,100.0,0.99999,900.0,900.168141435296932906849237512817567588751901,900.168141435296932906849237512817567589739317,900.168141435296932906849237512817567589245609,1.0001868238169966,0.16814143529688863,0.00018682381699654292,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,2.57039e-40,CERTIFIED
atlas_A,100.0,100.0,100.0,0.999999,900.0,900.016813942446548223039810741771536808095251,900.016813942446548223039810741771536809129686,900.016813942446548223039810741771536808612469,1.000018682158274,0.01681394244656076,1.86821582739564e-05,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,2.56976e-40,CERTIFIED
atlas_A,100.0,100.0,100.0,0.9999999,900.0,900.001681392234043863027554760815426139012754,900.001681392234043863027554760815426140305797,900.001681392234043863027554760815426139659275,1.0000018682135934,0.001681392233990664,1.86821359332296e-06,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,2.5697e-40,CERTIFIED
atlas_A,100.0,100.0,100.0,0.99999999,900.0,900.000168139203298497198398013533800698904998,900.000168139203298497198398013533800700092247,900.000168139203298497198398013533800699492745,1.000000186821337,0.00016813920331060217,1.868213370117802e-07,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,2.56969e-40,CERTIFIED
atlas_A,100.0,100.0,100.0,0.999999999,900.0,900.0000168139201287910492843342318118216226,900.000016813920128791049284334231811822668789,900.000016813920128791049284334231811822151572,1.0000000186821336,1.6813920183267328e-05,1.8682133536963697e-08,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,2.56969e-40,CERTIFIED
atlas_A,100.0,100.0,100.0,0.9999999999,900.0,900.000001681392010868518443366829539997874514,900.000001681392010868518443366829539999155803,900.000001681392010868518443366829539998509281,1.0000000018682134,1.6813920638014679e-06,1.8682134042238534e-09,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,2.56969e-40,CERTIFIED
atlas_A,316.227766017,316.227766017,316.227766017,0.6666666766666667,2846.0498941530004,167586767873062460102111.924763944759053333368,167586767873062460102111.924763944759053333578,167586767873062460102111.924763944759053333473,5.888398802050418e+19,1.6758676787306246e+23,5.888398802050418e+19,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,1.5458e-50,CERTIFIED
atlas_A,316.227766017,316.227766017,316.227766017,0.6666667666666667,2846.0498941530004,167612679700972638092.008007181190802075602161,167612679700972638092.008007181190802075602182,167612679700972638092.008007181190802075602172,5.8893092508785784e+16,1.6761267970097263e+20,5.8893092508785784e+16,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,1.54598e-50,CERTIFIED
atlas_A,316.227766017,316.227766017,316.227766017,0.6666676666666667,2846.0498941530004,167871798011000381.052577600792026401366583035,167871798011000381.052577600792026401366583038,167871798011000381.052577600792026401366583037,58984137402468.1,1.6787179801099754e+17,58984137402467.1,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,1.54782e-50,CERTIFIED
atlas_A,316.227766017,316.227766017,316.227766017,0.6666766666666667,2846.0498941530004,170463011561684.38651179876238141343666924906,170463011561684.386511798762381413438513903832,170463011561684.386511798762381413437591578062,59894597038.47359,170463011558838.3,59894597037.47359,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,1.34559e-40,CERTIFIED
atlas_A,316.227766017,316.227766017,316.227766017,0.6667666666666666,2846.0498941530004,196401529262.628818156539112119958144887661086,196401529262.628818156539112119958145109570814,196401529262.62881815653911211995814499861595,69008463.15664433,196401526416.57892,69008462.15664433,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,1.52826e-40,CERTIFIED
atlas_A,316.227766017,316.227766017,316.227766017,0.6676666666666666,2846.0498941530004,466710304.396941055248891123861829553656840519,466710304.396941055248891123861829553740638502,466710304.396941055248891123861829553698736429,163985.28548489715,466707458.3470469,163984.28548489715,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,1.75622e-39,CERTIFIED
atlas_A,316.227766017,316.227766017,316.227766017,0.6766666666666666,2846.0498941530004,4248996.48087474083797878700489081993317152537,4248996.48087474083797878700489081993323960699,4248996.48087474083797878700489081993320561433,1492.9451832885961,4246150.430980587,1491.945183288596,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,1.03009e-39,CERTIFIED
atlas_A,316.227766017,316.227766017,316.227766017,0.7,2846.0498941530004,514689.586211220084481786644088153159489078069,514689.586211220084481786644088153159492857707,514689.586211220084481786644088153159490967888,180.84348671069043,511843.53631706705,179.84348671069043,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,3.10253e-40,CERTIFIED
atlas_A,316.227766017,316.227766017,316.227766017,0.75,2846.0498941530004,107513.887797083500046073509715735117542459514,107513.887797083500046073509715735117542728843,107513.887797083500046073509715735117542594931,37.776529504265845,104667.8379029305,36.776529504265845,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,3.46148e-40,CERTIFIED
atlas_A,316.227766017,316.227766017,316.227766017,0.7666666666666667,2846.0498941530004,78229.1842644076726372145225980965860214528265,78229.1842644076726372145225980965860216649797,78229.1842644076726372145225980965860215581508,27.48693353026725,75383.13437025467,26.486933530267255,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,3.50856e-40,CERTIFIED
atlas_A,316.227766017,316.227766017,316.227766017,0.8,2846.0498941530004,46662.6677007411792104523497101881577209224176,46662.6677007411792104523497101881577210096863,46662.6677007411792104523497101881577209660519,16.395590181537642,43816.617806588176,15.39559018153764,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,3.55203e-40,CERTIFIED
atlas_A,316.227766017,316.227766017,316.227766017,0.85,2846.0498941530004,25140.8749932309297365980946315647659400167063,25140.8749932309297365980946315647659400629738,25140.874993230929736598094631564765940039652,8.83360303868214,22294.825099077927,7.83360303868214,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,3.51907e-40,CERTIFIED
atlas_A,316.227766017,316.227766017,316.227766017,0.9,2846.0498941530004,14453.4753401049095881836162527332614531382843,14453.4753401049095881836162527332614531610419,14453.475340104909588183616252733261453149569,5.078433575531655,11607.425445951909,4.078433575531655,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,3.35591e-40,CERTIFIED
atlas_A,316.227766017,316.227766017,316.227766017,0.9,2846.0498941530004,14453.4753401049095881836162527332614531382843,14453.4753401049095881836162527332614531610419,14453.475340104909588183616252733261453149569,5.078433575531655,11607.425445951909,4.078433575531655,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,3.35591e-40,CERTIFIED
atlas_A,316.227766017,316.227766017,316.227766017,0.95,2846.0498941530004,7835.0765671918222204424387583714915432117528,7835.07656719182222044243875837149154322303754,7835.07656719182222044243875837149154321739517,2.752965288236306,4989.026673038822,1.7529652882363058,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,1.47344e-38,CERTIFIED
