triple,beta12,beta13,beta23,k,1-alpha,T1,C_beta,T_alpha,(T-T1)/(1-alpha),(T-T1)/(C(1-alpha)),D_estimate=(T-T1-C eps)/eps^2,evidence
"weak_pair_loops_(1.01,0.99,1.005)",1.01,0.99,1.005,3,0.001,9.01483740224193591362878,65.37795565882362309029109,9.0805727056696008379783832328294932,65.73530342766492434960278,1.0054658755423024983,357.347768841301,HP(45 digits)
"weak_pair_loops_(1.01,0.99,1.005)",1.01,0.99,1.005,4,0.0001,9.01483740224193591362878,65.37795565882362309029109,9.0213787562174909140823062529767674,65.41353975555000453525805,1.0005442827994206163,355.840967263814,HP(45 digits)
"weak_pair_loops_(1.01,0.99,1.005)",1.01,0.99,1.005,5,1.0e-5,9.01483740224193591362878,65.37795565882362309029109,9.0154912173676173063003003088358056,65.38151256813926715198608,1.0000544053309682223,355.690931564406,HP(45 digits)
"weak_pair_loops_(1.01,0.99,1.005)",1.01,0.99,1.005,6,1.0e-6,9.01483740224193591362878,65.37795565882362309029109,9.0149027805532709876011525450448178,65.37831133507397237209698,1.0000054403085377185,355.676250349282,HP(45 digits)
"weak_pair_loops_(1.01,0.99,1.005)",1.01,0.99,1.005,7,1.0e-7,9.01483740224193591362878,65.37795565882362309029109,9.0148439400410588597804504449158393,65.37799122946151669996855,1.0000005440769374808,355.706378936097,HP(45 digits)
"weak_pair_loops_(1.01,0.99,1.005)",1.01,0.99,1.005,8,1.0e-8,9.01483740224193591362878,65.37795565882362309029109,9.0148380560215283887704962676019373,65.37795924751417158195413,1.0000000548914463955,358.869054849166,HP(45 digits)
"weak_pair_loops_(1.01,0.99,1.005)",1.01,0.99,1.005,9,1.0e-9,9.01483740224193591362878,65.37795565882362309029109,9.0148374676198922476040174077478262,65.3779563339752369596872,1.0000000103269000547,675.151613869396,HP(45 digits)
"weak_pair_loops_(1.01,0.99,1.005)",1.01,0.99,1.005,10,1.0e-10,9.01483740224193591362878,65.37795565882362309029109,9.0148374087797318025452314891158436,65.37795888916451041055219,1.0000000494102462331,32303.4088732026,HP(45 digits)
"strong_antagonism_(20,20,20)",20,20,20,1,0.1,180.0,1679.092371853075325338526,432.13453174054101302489949056545104,2521.345317405410130248995,1.5016120373549252181,8422.52945552335,HP(45 digits)
"strong_antagonism_(20,20,20)",20,20,20,2,0.01,180.0,1679.092371853075325338526,197.27575719844596017392554610368701,1727.575719844596017392555,1.0288747354250758893,4848.33479915207,HP(45 digits)
"strong_antagonism_(20,20,20)",20,20,20,3,0.001,180.0,1679.092371853075325338526,181.68369364389948280618588551242388,1683.693643899482806185886,1.0027403328867067853,4601.27204640748,HP(45 digits)
"strong_antagonism_(20,20,20)",20,20,20,4,0.0001,180.0,1679.092371853075325338526,180.16795500944849563439022625073923,1679.550094484956343902263,1.0002726012216801795,4577.22631881019,HP(45 digits)
"strong_antagonism_(20,20,20)",20,20,20,5,1.0e-5,180.0,1679.092371853075325338526,180.01679138120133520093935416411413,1679.138120133520093935416,1.0000272458390090118,4574.82804447686,HP(45 digits)
"strong_antagonism_(20,20,20)",20,20,20,6,1.0e-6,180.0,1679.092371853075325338526,180.00167909694644135505456264638624,1679.096946441355054562646,1.0000027244411066442,4574.58827972922,HP(45 digits)
"strong_antagonism_(20,20,20)",20,20,20,7,1.0e-7,180.0,1679.092371853075325338526,180.00016790928293095057134405037508,1679.092829309505713440504,1.0000002724426827592,4574.56430388102,HP(45 digits)
"strong_antagonism_(20,20,20)",20,20,20,8,1.0e-8,180.0,1679.092371853075325338526,180.00001679092417598694388363172162,1679.092417598694388363172,1.0000000272442539969,4574.56190630246,HP(45 digits)
"strong_antagonism_(20,20,20)",20,20,20,9,1.0e-9,180.0,1679.092371853075325338526,180.00000167909237642763699188319754,1679.092376427636991883198,1.0000000027244252569,4574.56166654467,HP(45 digits)
"strong_antagonism_(20,20,20)",20,20,20,10,1.0e-10,180.0,1679.092371853075325338526,180.00000016790923723105314895954151,1679.092372310531489595415,1.0000000002724425243,4574.56164256889,HP(45 digits)
"anisotropic_(0.01,1,100)",0.01,1,100,1,0.1,123.2100000000000000231065,1405.787609597304806354672,283.06718137762202677322119241607324,1598.571813776220267501147,1.1371360814839871167,1927.84204178915,HP(45 digits)
"anisotropic_(0.01,1,100)",0.01,1,100,2,0.01,123.2100000000000000231065,1405.787609597304806354672,134.78492182525255343887755428261514,1157.492182525255341577104,0.82337628715964071911,-24829.5427072049,HP(45 digits)
"anisotropic_(0.01,1,100)",0.01,1,100,3,0.001,123.2100000000000000231065,1405.787609597304806354672,124.55630836834335829866072777376228,1346.308368343358275554211,0.95768973858648201508,-59479.2412539465,HP(45 digits)
"anisotropic_(0.01,1,100)",0.01,1,100,4,0.0001,123.2100000000000000231065,1405.787609597304806354672,123.34989103807446364463973311732574,1398.910380744636215332164,0.99510791757893028443,-68772.2885266859,HP(45 digits)
"anisotropic_(0.01,1,100)",0.01,1,100,5,1.0e-5,123.2100000000000000231065,1405.787609597304806354672,123.22405089010912775896326288825156,1405.089010912773585674619,0.99950305531236590005,-69859.8684531221,HP(45 digits)
"anisotropic_(0.01,1,100)",0.01,1,100,6,1.0e-6,123.2100000000000000231065,1405.787609597304806354672,123.21140571763913745408068698386261,1405.717639137430974170284,0.999950226862581414,-69970.4598738322,HP(45 digits)
"anisotropic_(0.01,1,100)",0.01,1,100,7,1.0e-7,123.2100000000000000231065,1405.787609597304806354672,123.21014057806114435442480785368699,1405.780611443313182911537,0.99999502189808485501,-69981.5399162344,HP(45 digits)
"anisotropic_(0.01,1,100)",0.01,1,100,8,1.0e-8,123.2100000000000000231065,1405.787609597304806354672,123.21001405786909770849136472634593,1405.786909768538484802633,0.99999950218029982351,-69982.8766321552,HP(45 digits)
"anisotropic_(0.01,1,100)",0.01,1,100,9,1.0e-9,123.2100000000000000231065,1405.787609597304806354672,123.21000140578753961454844651844229,1405.787539591441929818431,0.99999995020167883213,-70005.8628765362,HP(45 digits)
"anisotropic_(0.01,1,100)",0.01,1,100,10,1.0e-10,123.2100000000000000231065,1405.787609597304806354672,123.21000014057876025990280675978614,1405.787602367962900597751,0.99999999485744371596,-72293.4190575692,HP(45 digits)
