triple,beta12,beta13,beta23,alpha,T1,T_Phi=T1/rho_alpha,T_alpha,certified_fraction_(TPhi-T1)/(Talpha-T1),TPhi_over_Talpha,limit_alpha_to_1_2sqrt(SG)/(S+G),evidence
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999984986892711,21.5199353501965,21.5219654722311,21.5219871596542,0.98943009886932,0.999998992313166,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999986888660626,21.5199353501965,21.5217082929924,21.5217272322991,0.989430495068672,0.999999119991322,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999988549524301,21.5199353501965,21.5214836954057,21.521500234921,0.989430841087965,0.999999231488737,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.99999,21.5199353501965,21.5212875513331,21.5213019952085,0.989431143266735,0.999999328856807,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999991266738376,21.5199353501965,21.5211162557764,21.521128869597,0.98943140715116,0.999999413886666,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999992373014141,21.5199353501965,21.5209666605581,21.5209776762375,0.989431637626033,0.999999488142245,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999993339153709,21.5199353501965,21.5208360164162,21.5208456364682,0.989431838884764,0.999999552989128,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999994182908671,21.5199353501965,21.5207219224421,21.5207303237106,0.989432014647755,0.999999609619733,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999994919781953,21.5199353501965,21.5206222819319,21.5206296188462,0.989432168172675,0.999999659075294,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999995563312669,21.5199353501965,21.5205352638334,21.5205416712511,0.98943230221086,0.999999702265037,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.99999612532488,21.5199353501965,21.5204592690832,21.5204648647712,0.989432419277342,0.99999973998294,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999996616144847,21.5199353501965,21.520392901209,21.5203977880106,0.989432521537733,0.999999772922337,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999997044790765,21.5199353501965,21.5203349406591,21.5203392083858,0.98943261085673,0.999999801688691,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.99999741913846,21.5199353501965,21.5202843223861,21.5202880494691,0.989432688832422,0.999999826810731,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999997746066095,21.5199353501965,21.5202401162701,21.520243371203,0.989432756896193,0.999999848750184,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999998031580553,21.5199353501965,21.5202015100239,21.5202043526219,0.989432816334603,0.999999867910268,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999998280927798,21.5199353501965,21.520167794264,21.520170276764,0.989432868339798,0.999999884643108,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999998498689271,21.5199353501965,21.5201383494736,21.5201405174942,0.989432913702762,0.999999899256209,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999998688866063,21.5199353501965,21.5201126346173,21.5201145279975,0.989432953300851,0.999999912018117,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.99999885495243,21.5199353501965,21.5200901771982,21.5200918307299,0.989432987895513,0.999999923163353,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999999,21.5199353501965,21.5200705645753,21.5200720086426,0.989433018128906,0.999999932896724,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999999126673838,21.5199353501965,21.5200534363805,21.5200546975184,0.989433044440012,0.999999941397089,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999999237301414,21.5199353501965,21.5200384778967,21.5200395792784,0.989433067452935,0.999999948820648,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999999333915371,21.5199353501965,21.5200254142741,21.5200263761372,0.98943308773725,0.999999955303813,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999999418290867,21.5199353501965,21.5200140054805,21.520014845499,0.989433105259681,0.99999996096571,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999999491978195,21.5199353501965,21.52000404189,21.5200047754988,0.989433120494995,0.999999965910379,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999999556331267,21.5199353501965,21.5199953404314,21.5199959811101,0.989433134131519,0.999999970228678,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999999612532488,21.5199353501965,21.5199877412242,21.5199883007449,0.989433145808759,0.999999973999952,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999999661614485,21.5199353501965,21.5199811046411,21.5199815932846,0.989433155867135,0.999999977293498,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999999704479076,21.5199353501965,21.5199753087419,21.5199757354866,0.989433164717666,0.999999980169833,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999999741913846,21.5199353501965,21.5199702470335,21.5199706197205,0.989433172580674,0.999999982681808,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999999774606609,21.5199353501965,21.5199658265125,21.5199661519895,0.989433179629652,0.99999998487558,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999999803158055,21.5199353501965,21.519961965957,21.5199622502044,0.989433185449742,0.999999986791455,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.99999982809278,21.5199353501965,21.5199585944338,21.5199588426743,0.989433190591593,0.999999988464637,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999999849868927,21.5199353501965,21.519955649995,21.5199558667898,0.989433194445548,0.999999989925869,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999999868886606,21.5199353501965,21.51995307854,21.5199532678725,0.989433199928201,0.999999991202002,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999999885495243,21.5199353501965,21.5199508328215,21.5199509981705,0.989433202517527,0.99999999231648,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.9999999,21.5199353501965,21.519948871577,21.5199490159806,0.989433205700931,0.999999993289783,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999999912667384,21.5199353501965,21.5199471587712,21.5199472848825,0.989433207358333,0.999999994139793,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999999923730141,21.5199353501965,21.5199456629332,21.5199457730695,0.98943321143807,0.99999999488213,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999999933391537,21.5199353501965,21.5199443565788,21.5199444527637,0.98943321159917,0.99999999553043,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999999941829087,21.5199353501965,21.5199432157055,21.5199432997063,0.989433215047859,0.999999996096609,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.99999994919782,21.5199353501965,21.519942219351,21.5199422927111,0.989433214987628,0.999999996591066,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999999955633127,21.5199353501965,21.5199413492087,21.5199414132759,0.989433215977521,0.999999997022889,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999999961253249,21.5199353501965,21.5199405892907,21.5199406452422,0.989433219114296,0.999999997400012,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999999966161448,21.5199353501965,21.5199399256344,21.5199399744984,0.989433218339637,0.999999997729362,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999999970447908,21.5199353501965,21.519939346046,21.5199393887202,0.989433218362822,0.999999998016993,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999999974191385,21.5199353501965,21.5199388398764,21.5199388771448,0.989433224617158,0.999999998268189,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999999977460661,21.5199353501965,21.5199383978252,21.5199384303727,0.989433226131064,0.999999998487564,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999999980315806,21.5199353501965,21.5199380117703,21.519938040195,0.989433222372292,0.99999999867915,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999999982809278,21.5199353501965,21.5199376746185,21.5199376994425,0.989433223269116,0.999999998846467,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999999984986893,21.5199353501965,21.5199373801751,21.5199374018545,0.989433223167631,0.999999998992589,0.989433226413886,FLOAT
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,0.999999986888661,21.5199353501965,21.5199371230299,21.5199371419631,0.989433221807542,0.999999999120202,0.989433226413886,FLOAT
