alpha,s,beta12=e^s,beta13=1,beta23=e^-s/2,x1,x2,x3,cain_x1,cain_x2,cain_x3,evidence
0.75,0.34,1.40494759056,1,0.843664816596,0.322302149329,0.329780164755,0.347917685916,0.295929896717,0.322183929102,0.381886174182,FLOAT
0.75,0.35,1.41906754859,1,0.839457020769,0.321965803032,0.329647937548,0.348386259421,0.294844461845,0.321805707094,0.383349831061,FLOAT
0.75,0.36,1.43332941456,1,0.835270211411,0.321628716088,0.329514074025,0.348857209887,0.29376006033,0.321424703593,0.384815236077,FLOAT
0.75,0.37,1.44773461466,1,0.831104283852,0.321290883839,0.329378570152,0.34933054601,0.292676708317,0.321040927581,0.386282364102,FLOAT
0.75,0.38,1.46228458943,1,0.826959133943,0.320952301669,0.329241421932,0.349806276399,0.291594421928,0.320654388179,0.387751189893,FLOAT
0.75,0.39,1.47698079388,1,0.822834658056,0.320612965015,0.329102625408,0.350284409577,0.290513217263,0.320265094636,0.389221688101,FLOAT
0.75,0.4,1.49182469764,1,0.818730753078,0.32027286936,0.328962176663,0.350764953978,0.289433110394,0.319873056336,0.39069383327,FLOAT
0.75,0.41,1.50681778511,1,0.814647316411,0.319932010237,0.328820071821,0.351247917942,0.288354117369,0.319478282792,0.392167599839,FLOAT
0.75,0.42,1.52196155562,1,0.81058424597,0.31959038323,0.328676307047,0.351733309723,0.287276254206,0.31908078365,0.393642962143,FLOAT
0.75,0.43,1.53725752355,1,0.806541440177,0.319247983972,0.328530878549,0.352221137479,0.286199536898,0.318680568686,0.395119894417,FLOAT
0.75,0.44,1.55270721851,1,0.802518797962,0.318904808149,0.328383782577,0.352711409274,0.285123981404,0.318277647803,0.396598370793,FLOAT
0.75,0.45,1.56831218549,1,0.798516218759,0.318560851498,0.328235015424,0.353204133078,0.284049603654,0.317872031037,0.398078365309,FLOAT
0.75,0.46,1.58407398499,1,0.794533602503,0.318216109808,0.328084573427,0.353699316765,0.282976419547,0.317463728549,0.399559851904,FLOAT
0.75,0.47,1.59999419322,1,0.790570849629,0.317870578921,0.327932452968,0.354196968111,0.281904444946,0.31705275063,0.401042804423,FLOAT
0.75,0.48,1.61607440219,1,0.786627861067,0.317524254734,0.327778650474,0.354697094792,0.280833695682,0.316639107698,0.40252719662,FLOAT
0.75,0.49,1.63231621996,1,0.782704538242,0.317177133196,0.327623162418,0.355199704385,0.279764187547,0.316222810297,0.404013002156,FLOAT
0.75,0.5,1.6487212707,1,0.778800783071,0.316829210313,0.32746598532,0.355704804367,0.2786959363,0.315803869094,0.405500194606,FLOAT
0.75,0.51,1.66529119495,1,0.774916497961,0.316480482143,0.327307115745,0.356212402112,0.277628957659,0.315382294887,0.406988747454,FLOAT
0.75,0.52,1.6820276497,1,0.771051585804,0.316130944803,0.327146550308,0.356722504889,0.276563267305,0.314958098592,0.408478634103,FLOAT
0.75,0.53,1.69893230862,1,0.767205949976,0.315780594465,0.32698428567,0.357235119865,0.275498880877,0.314531291253,0.409969827871,FLOAT
0.75,0.54,1.71600686218,1,0.763379494337,0.315429427357,0.326820318543,0.357750254099,0.274435813972,0.314101884034,0.411462301993,FLOAT
0.75,0.55,1.73325301787,1,0.759572123225,0.315077439766,0.326654645688,0.358267914546,0.273374082147,0.313669888224,0.412956029629,FLOAT
0.75,0.56,1.7506725003,1,0.755783741456,0.314724628036,0.326487263915,0.358788108049,0.272313700913,0.31323531523,0.414450983857,FLOAT
0.75,0.57,1.76826705143,1,0.752014254319,0.314370988569,0.326318170084,0.359310841347,0.271254685736,0.312798176581,0.415947137683,FLOAT
0.75,0.58,1.78603843075,1,0.748263567579,0.314016517826,0.32614736111,0.359836121064,0.270197052038,0.312358483926,0.417444464036,FLOAT
0.75,0.59,1.8039884154,1,0.744531587466,0.313661212328,0.325974833955,0.360363953717,0.269140815191,0.311916249032,0.418942935777,FLOAT
0.75,0.6,1.82211880039,1,0.740818220682,0.313305068656,0.325800585636,0.360894345708,0.268085990522,0.311471483784,0.420442525694,FLOAT
0.75,0.61,1.84043139878,1,0.737123374392,0.312948083449,0.325624613224,0.361427303327,0.267032593304,0.311024200185,0.421943206511,FLOAT
0.75,0.62,1.85892804185,1,0.733446956224,0.31259025341,0.325446913841,0.361962832749,0.265980638764,0.310574410353,0.423444950882,FLOAT
0.75,0.63,1.87761057926,1,0.729788874269,0.312231575301,0.325267484664,0.362500940034,0.264930142075,0.310122126523,0.424947731402,FLOAT
0.75,0.64,1.8964808793,1,0.726149037074,0.311872045947,0.325086322926,0.363041631127,0.263881118358,0.309667361042,0.4264515206,FLOAT
0.75,0.65,1.91554082901,1,0.722527353642,0.311511662234,0.324903425913,0.363584911853,0.262833582678,0.309210126373,0.427956290948,FLOAT
0.75,0.66,1.9347923344,1,0.718923733432,0.311150421111,0.324718790968,0.364130787921,0.261787550048,0.308750435091,0.429462014861,FLOAT
0.75,0.67,1.95423732064,1,0.715338086353,0.31078831959,0.324532415489,0.36467926492,0.260743035423,0.308288299881,0.430968664696,FLOAT
0.75,0.68,1.97387773223,1,0.711770322763,0.310425354747,0.324344296934,0.365230348319,0.259700053702,0.307823733541,0.432476212757,FLOAT
0.75,0.69,1.99371553324,1,0.708220353468,0.31006152372,0.324154432815,0.365784043465,0.258658619724,0.307356748978,0.433984631298,FLOAT
0.75,0.7,2.01375270747,1,0.704688089719,0.309696823713,0.323962820703,0.366340355584,0.257618748271,0.306887359206,0.435493892523,FLOAT
0.75,0.71,2.03399125865,1,0.701173443209,0.309331251993,0.323769458227,0.366899289779,0.256580454062,0.30641557735,0.437003968588,FLOAT
0.75,0.72,2.05443321064,1,0.697676326071,0.308964805894,0.323574343077,0.367460851029,0.255543751757,0.30594141664,0.438514831603,FLOAT
0.75,0.73,2.07508060767,1,0.694196650878,0.308597482814,0.323377472999,0.368025044188,0.254508655951,0.305464890412,0.440026453637,FLOAT
0.75,0.74,2.09593551449,1,0.690734330637,0.308229280215,0.323178845801,0.368591873984,0.253475181177,0.304986012107,0.441538806716,FLOAT
0.75,0.75,2.11700001661,1,0.687289278791,0.307860195628,0.322978459351,0.36916134502,0.252443341904,0.304504795269,0.443051862827,FLOAT
0.75,0.76,2.1382762205,1,0.683861409212,0.307490226649,0.322776311579,0.369733461772,0.251413152533,0.304021253546,0.444565593921,FLOAT
0.75,0.77,2.15976625378,1,0.680450636205,0.307119370941,0.322572400474,0.370308228586,0.2503846274,0.303535400687,0.446079971913,FLOAT
0.75,0.78,2.1814722655,1,0.677056874498,0.306747626232,0.322366724088,0.37088564968,0.249357780773,0.30304725054,0.447594968687,FLOAT
0.75,0.79,2.20339642626,1,0.673680039249,0.30637499032,0.322159280535,0.371465729145,0.248332626851,0.302556817056,0.449110556093,FLOAT
0.75,0.8,2.22554092849,1,0.670320046036,0.306001461069,0.321950067994,0.372048470937,0.247309179763,0.302064114281,0.450626705956,FLOAT
0.75,0.81,2.24790798668,1,0.666976810858,0.305627036412,0.321739084703,0.372633878885,0.246287453568,0.301569156361,0.452143390071,FLOAT
0.75,0.82,2.27049983753,1,0.663650250136,0.305251714348,0.321526328967,0.373221956685,0.245267462253,0.301071957535,0.453660580212,FLOAT
0.75,0.83,2.29331874026,1,0.660340280705,0.304875492947,0.321311799154,0.373812707898,0.244249219731,0.30057253214,0.455178248129,FLOAT
0.75,0.84,2.31636697678,1,0.657046819815,0.304498370347,0.321095493696,0.374406135957,0.243232739842,0.300070894607,0.456696365551,FLOAT
0.75,0.85,2.33964685193,1,0.65376978513,0.304120344752,0.320877411091,0.375002244157,0.242218036353,0.299567059456,0.458214904191,FLOAT
0.75,0.86,2.36316069371,1,0.650509094723,0.303741414439,0.320657549902,0.375601035659,0.241205122954,0.299061041303,0.459733835743,FLOAT
0.75,0.87,2.38691085352,1,0.647264667078,0.303361577753,0.320435908756,0.376202513491,0.240194013256,0.298552854852,0.461253131891,FLOAT
0.75,0.88,2.41089970642,1,0.644036421083,0.302980833107,0.320212486349,0.376806680544,0.239184720797,0.298042514898,0.462772764305,FLOAT
0.75,0.89,2.43512965129,1,0.640824276032,0.302599178986,0.319987281442,0.377413539572,0.238177259034,0.297530036321,0.464292704645,FLOAT
0.75,0.9,2.45960311116,1,0.637628151622,0.302216613945,0.319760292862,0.378023093193,0.237171641344,0.297015434092,0.465812924564,FLOAT
0.75,0.91,2.48432253338,1,0.634447967948,0.301833136606,0.319531519506,0.378635343888,0.236167881025,0.296498723264,0.467333395712,FLOAT
0.75,0.92,2.50929038994,1,0.631283645507,0.301448745665,0.319300960336,0.379250293999,0.235165991293,0.295979918976,0.468854089731,FLOAT
0.75,0.93,2.53450917762,1,0.62813510519,0.301063439886,0.319068614384,0.37986794573,0.234165985282,0.295459036452,0.470374978266,FLOAT
0.75,0.94,2.55998141833,1,0.625002268283,0.300677218106,0.318834480748,0.380488301146,0.233167876044,0.294936090995,0.471896032962,FLOAT
0.75,0.95,2.58570965932,1,0.621885056465,0.30029007923,0.318598558597,0.381111362173,0.232171676545,0.29441109799,0.473417225465,FLOAT
